======================
BLEU:            89.29
SIM:            0.9616
======================
         BLEU | SIM
0507 -  11.45 | 0.9877
0508 -  94.03 | 0.9654
0509 -  46.82 | 0.9808
0510 -  12.36 | 0.9807
0511 -   0.00 | 0.9708
0512 -  91.20 | 0.9506
0513 -  74.68 | 0.8771
0514 -  69.61 | 0.7012
0515 -  97.94 | 0.9851
0516 -  79.26 | 0.9893
0517 -  95.11 | 0.9769
0518 -  50.17 | 0.9753
0519 -  48.71 | 0.9235
0520 -   0.00 | 0.9846
0521 -  31.64 | 0.9581
0522 -  64.85 | 0.9901
0523 -  22.14 | 0.9388
0524 -  95.16 | 0.9874
0525 -  15.39 | 0.9833
0526 -  19.62 | 0.9536
0527 -  96.42 | 0.9597
0528 -  97.08 | 0.9721
0529 -  47.72 | 0.9874
0530 -   0.00 | 0.9751
0531 -  85.53 | 0.9260
0532 -   0.00 | 0.9742
0533 -  93.31 | 0.9370
0534 -  95.96 | 0.9897
0535 -   0.00 | 0.9884
0536 -  78.10 | 0.9458
0537 -  50.67 | 0.7914
0538 -  54.55 | 0.9821
0539 -  65.67 | 0.9728
0540 -  90.72 | 0.9883
0541 -  36.27 | 0.9460
0542 -  40.65 | 0.9860
0543 -  17.90 | 0.9547
0544 -  89.23 | 0.9407
0545 -  65.67 | 0.9678
0546 -  92.10 | 0.9697
0547 -  47.46 | 0.9429
0548 -  74.56 | 0.9662
0549 -  83.86 | 0.9558
0550 -  93.40 | 0.9766
0551 -  31.57 | 0.8984
0552 -  30.35 | 0.9807
0553 -  47.77 | 0.9542
0554 -  57.11 | 0.9861
0555 -  92.59 | 0.9688
0556 -   0.00 | 0.9613
0557 -  66.87 | 0.9370
0558 -  97.71 | 0.9909
0559 -  71.81 | 0.9845
0560 -  87.50 | 0.9544
0561 -  93.36 | 0.9831
0562 -  71.99 | 0.9334
0563 -  42.44 | 0.9601
0564 -  40.59 | 0.9730
0565 -  87.99 | 0.9882
0566 -  88.01 | 0.9897
0567 -  43.59 | 0.9525
0568 -  12.60 | 0.9903
0569 -  21.47 | 0.9912
0570 -  97.29 | 0.9801
0571 -  41.93 | 0.9889
0572 -  66.10 | 0.9650
0573 -   5.42 | 0.9900
0574 -   0.00 | 0.9397
0575 -  94.00 | 0.9636
0576 -  87.91 | 0.9741
0577 -  11.76 | 0.9580
0578 -  15.25 | 0.9894
0579 -  50.07 | 0.9808
0580 -  92.77 | 0.9172
0581 -   0.00 | 0.9911
0582 -  38.04 | 0.9796
0583 -  34.00 | 0.9576
0584 -  12.43 | 0.9782
0585 -  51.80 | 0.9754
0586 -  56.63 | 0.9764
0587 -  64.11 | 0.9711
0588 -  22.24 | 0.9825
0589 -   0.00 | 0.8840
0590 -  70.62 | 0.9744
0591 -  32.19 | 0.9878
0592 -  93.65 | 0.9798
0593 -  13.20 | 0.9415
0594 -  96.01 | 0.9835
0595 -  92.51 | 0.9584
0596 -  21.38 | 0.9494
0597 -  90.10 | 0.9865
0598 -  83.28 | 0.9723
0599 -   6.83 | 0.9800
0600 -  28.48 | 0.9767
0601 -  87.83 | 0.9383
0602 -  77.65 | 0.9854
0603 -  92.28 | 0.9514
0604 -  88.21 | 0.9821
0605 -  92.16 | 0.9646
0606 -  77.80 | 0.9822
0607 -  16.39 | 0.9542
0608 -  63.82 | 0.9712
0609 -  81.70 | 0.9800
0610 -  90.22 | 0.9303
0611 -  93.69 | 0.9704
0612 -  73.59 | 0.9840
0613 -  33.28 | 0.9914
0614 -  42.15 | 0.9652
0615 -  96.10 | 0.9945
0616 -  89.45 | 0.9500
0617 -  84.06 | 0.8561
0618 -  76.66 | 0.9875
0619 -  21.37 | 0.9719
0620 -  91.44 | 0.9398
0621 -  46.46 | 0.9709
0622 -  95.73 | 0.9832
0623 -  91.40 | 0.9827
0624 -  93.78 | 0.9937
0625 -  78.27 | 0.9908
0626 -  94.84 | 0.9530
0627 -  11.85 | 0.9599
0628 -  35.02 | 0.9646
0629 -  75.48 | 0.9724
0630 -  24.59 | 0.9436
0631 -  71.04 | 0.9928
0632 -  31.14 | 0.9578
0633 -  21.39 | 0.9882
0634 -  50.46 | 0.9890
0635 -  22.01 | 0.9578
0636 -  18.16 | 0.9948
0637 -  74.54 | 0.9939
0638 -  59.56 | 0.9861
0639 -  46.67 | 0.9814
0640 -  80.06 | 0.9107
0641 -  45.60 | 0.9668
0642 -  83.12 | 0.9799
0643 -  41.79 | 0.9670
0644 -  95.34 | 0.9921
0645 -   9.70 | 0.9743
0646 -  38.13 | 0.9900
0647 -  68.95 | 0.9813
0648 -  62.75 | 0.9797
0649 -  46.05 | 0.9809
0650 -  89.13 | 0.9521
0651 -  92.68 | 0.9781
0652 -  84.06 | 0.9732
0653 -   0.00 | 0.9400
0654 -   0.00 | 0.9947
0655 -  79.55 | 0.9707
0656 -  82.50 | 0.9700
0657 -  87.33 | 0.9257
0658 -  92.05 | 0.9316
0659 -   0.00 | 0.9481
0660 -   0.00 | 0.8983
0661 -  94.01 | 0.9712
0662 -  25.32 | 0.9670
0663 -  92.71 | 0.9752
0664 -  97.98 | 0.9913
0665 -   0.00 | 0.7748
0666 -  87.83 | 0.9723
0667 -  31.56 | 0.9796
0668 -  87.18 | 0.9454
0669 -  75.75 | 0.9005
0670 -  93.34 | 0.9630
0671 -  81.86 | 0.8828
0672 -  68.77 | 0.9383
0673 -  23.42 | 0.9849
0674 -  24.55 | 0.9468
0675 -  91.34 | 0.9808
0676 -   0.00 | 0.9617
0677 -  28.55 | 0.9947
0678 -  65.75 | 0.9858
0679 -  92.66 | 0.9817
0680 -  39.72 | 0.9270
0681 -  33.86 | 0.7869
0682 -  94.13 | 0.9884
0683 -   0.00 | 0.9481
0684 -  31.51 | 0.9591
0685 -  69.09 | 0.9409
0686 -  63.48 | 0.9492
0687 -   0.00 | 0.9684
0688 -  94.99 | 0.9433
0689 -  93.35 | 0.9867
0690 -  19.26 | 0.9906
0691 -  93.45 | 0.9842
0692 -  20.53 | 0.9995
0693 -  78.55 | 0.9765
0694 -  95.81 | 0.9731
0695 -  25.26 | 0.9872
0696 -  52.70 | 0.9901
0697 -   0.00 | 0.9935
0698 -  35.09 | 0.9833
0699 -  76.39 | 0.9008
0700 -  95.64 | 0.9800
0701 -  71.50 | 0.9460
0702 -  76.04 | 0.9708
0703 -  77.31 | 0.9431
0704 -  56.87 | 0.9709
0705 -  43.62 | 0.9295
0706 -  88.02 | 0.9661
0707 -  83.84 | 0.9779
0708 -  25.94 | 0.8905
0709 -  66.88 | 0.7707
0710 -  27.38 | 0.9955
0711 -  73.09 | 0.9403
0712 -  77.50 | 0.9905
0713 -  31.21 | 0.9859
0714 -  14.50 | 0.9761
0715 -  24.21 | 0.9794
0716 -  72.66 | 0.9259
0717 -  56.38 | 0.8301
0718 -  40.44 | 0.9896
0719 -  41.05 | 0.9928
0720 -  95.50 | 0.9838
0721 -  89.58 | 0.9692
0722 -  18.63 | 0.9660
0723 -  60.21 | 0.9594
0724 -   7.98 | 0.9840
0725 -  50.58 | 0.9781
0726 -  85.16 | 0.9948
0727 -  27.00 | 0.9859
0728 -  52.06 | 0.9869
0729 -  94.86 | 0.9715
0730 -   0.00 | 0.9684
0731 -  16.80 | 0.9466
0732 -   0.00 | 0.9870
0733 -  23.99 | 0.9954
0734 -  46.63 | 0.9881
0735 -  60.15 | 0.9632
0736 -  47.57 | 0.9908
0737 -  79.23 | 0.9857
0738 -  80.15 | 0.9315
0739 -  91.56 | 0.9700
0740 -  94.73 | 0.9924
0741 -  85.62 | 0.8957
0742 -  94.21 | 0.9841
0743 -  97.02 | 0.9979
0744 -  69.81 | 0.9797
0745 -  36.78 | 0.9942
0746 -  57.42 | 0.9938
0747 -  48.23 | 0.9555
0748 -  95.88 | 0.9849
0749 -  98.06 | 0.9805
0750 -  42.66 | 0.9907
0751 -  39.92 | 0.9067
0752 -  51.92 | 0.9881
0753 -  95.39 | 0.9417
0754 -  69.54 | 0.9665
0755 -  62.31 | 0.9467
0756 -  75.58 | 0.9782
0757 -  73.01 | 0.9756
0758 -  78.17 | 0.8981
0759 -  51.20 | 0.9855
0760 -  93.50 | 0.9303
0761 -  76.94 | 0.9403
0762 -  31.66 | 0.9466
0763 -  55.84 | 0.9652
0764 -  95.27 | 0.9885
0765 -  76.44 | 0.8710
0766 -  80.87 | 0.9879
0767 -  78.76 | 0.9732
0768 -  63.25 | 0.8217
0769 -  22.15 | 0.8993
0770 -  80.99 | 0.9844
0771 -  39.90 | 0.9819
0772 -   0.00 | 0.9661
0773 -  62.68 | 0.9897
0774 -  21.92 | 0.9601
0775 -  23.63 | 0.9740
0776 -   0.00 | 0.7769
0777 -   0.00 | 0.8269
