======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0349 -  39.39 | 0.7814
0350 -  62.16 | 0.8281
0351 -  22.62 | 0.9458
0352 -  98.73 | 0.9469
0353 -  39.40 | 0.9685
0354 -  38.44 | 0.9716
0355 -  65.88 | 0.8972
0356 -  97.84 | 0.9431
0357 -  77.69 | 0.9575
0358 -  19.04 | 0.8895
0359 -  38.99 | 0.9381
0360 -  21.43 | 0.9752
0361 -  77.34 | 0.9833
0362 -  15.07 | 0.9750
0363 -  52.37 | 0.9563
0364 -  53.91 | 0.9620
0365 -  14.26 | 0.8852
0366 -  72.28 | 0.9749
0367 -   0.00 | 0.9655
0368 -  50.79 | 0.7572
0369 -  52.46 | 0.9282
0370 -   0.00 | 0.9623
0371 -   0.00 | 0.9714
0372 -  67.88 | 0.9540
0373 -  16.88 | 0.8770
0374 -  30.10 | 0.9848
0375 -  51.03 | 0.9516
0376 -  65.11 | 0.9346
0377 -  44.39 | 0.8067
0378 -  72.55 | 0.9166
0379 -  30.18 | 0.9298
0380 -   0.00 | 0.9872
0381 -  67.11 | 0.9520
0382 -  97.55 | 0.8740
0383 -  68.59 | 0.8094
0384 -  26.58 | 0.9813
0385 -   0.00 | 0.9658
0386 -   0.00 | 0.9464
0387 -  31.96 | 0.9375
0388 -  52.56 | 0.9405
0389 -  86.60 | 0.9556
0390 -   0.00 | 0.9253
0391 -  22.43 | 0.8068
0392 -  97.97 | 0.9285
0393 -   0.00 | 0.7924
0394 -  50.22 | 0.9073
0395 -  58.43 | 0.9810
0396 -  49.08 | 0.9772
0397 -  75.60 | 0.9780
0398 -  87.15 | 0.9228
0399 -  70.07 | 0.8680
0400 -  73.70 | 0.8617
0401 -  21.10 | 0.9828
0402 -  79.83 | 0.9499
0403 -  77.33 | 0.9086
0404 -   0.00 | 0.9606
0405 -  78.77 | 0.9494
0406 -  50.56 | 0.9325
0407 -  61.25 | 0.8623
0408 -   7.78 | 0.9886
0409 -   0.00 | 0.9188
0410 -  86.81 | 0.9578
0411 -   0.00 | 0.8469
0412 -  55.26 | 0.9683
0413 -  51.53 | 0.8494
0414 -  14.51 | 0.8007
0415 -  39.95 | 0.9154
0416 -  13.31 | 0.9586
0417 -   0.00 | 0.7971
0418 -  99.02 | 0.9586
0419 -  11.48 | 0.7601
0420 -  22.97 | 0.9670
0421 -  75.37 | 0.8148
0422 -  53.61 | 0.7358
0423 -  50.52 | 0.9033
0424 -  26.99 | 0.9488
0425 -  32.42 | 0.8284
0426 -   0.00 | 0.9016
0427 -  25.26 | 0.9720
0428 -   6.87 | 0.9360
0429 -  96.16 | 0.8309
0430 -  99.08 | 0.9342
0431 -   0.00 | 0.9649
0432 -  70.63 | 0.9733
0433 -  35.21 | 0.7170
0434 -  51.70 | 0.9375
0435 -  98.91 | 0.8907
0436 -  92.51 | 0.9861
0437 -   0.00 | 0.8861
0438 -  71.58 | 0.9627
0439 -   7.73 | 0.9059
0440 -  99.23 | 0.9597
0441 -  50.64 | 0.7521
0442 -   0.00 | 0.9823
0443 -  35.37 | 0.8966
0444 -  75.23 | 0.9524
0445 -  74.60 | 0.9923
0446 -  95.95 | 0.9755
0447 -  47.92 | 0.8088
0448 -  36.05 | 0.6628
0449 -  36.20 | 0.9198
0450 -  21.78 | 0.9770
0451 -   0.00 | 0.8183
0452 -   0.00 | 0.7884
0453 -  46.93 | 0.5954
0454 -  58.40 | 0.9274
0455 -  98.53 | 0.8884
0456 -  98.93 | 0.9685
0457 -  75.86 | 0.9651
0458 -  50.63 | 0.6859
0459 -   0.00 | 0.9392
0460 -  12.27 | 0.9849
0461 -   8.45 | 0.8612
0462 -  55.39 | 0.9119
0463 -  98.96 | 0.9162
0464 -  71.79 | 0.8760
0465 -  83.76 | 0.9923
0466 -  37.28 | 0.9039
0467 -  88.11 | 0.9782
0468 -  93.51 | 0.9771
0469 -   6.35 | 0.9489
0470 -   0.00 | 0.9466
0471 -  56.25 | 0.9550
0472 -  67.95 | 0.7200
0473 -   5.57 | 0.9566
0474 -  23.01 | 0.9394
0475 -  40.02 | 0.9557
0476 -   0.00 | 0.9342
0477 -  32.91 | 0.9642
0478 -  62.73 | 0.8389
0479 -  81.12 | 0.9417
0480 -   0.00 | 0.8537
0481 -  81.40 | 0.9754
0482 -  21.95 | 0.9445
0483 -  18.61 | 0.9615
0484 -  19.28 | 0.8870
0485 -  63.44 | 0.9142
0486 -  76.25 | 0.9612
0487 -  98.98 | 0.9459
0488 -  39.31 | 0.9657
0489 -  45.96 | 0.9413
0490 -  40.08 | 0.9746
0491 -  22.04 | 0.9478
0492 -  43.18 | 0.8398
0493 -  98.79 | 0.9187
0494 -  24.64 | 0.8148
0495 -  21.13 | 0.9898
0496 -  29.62 | 0.9282
0497 -   8.04 | 0.8652
0498 -  30.52 | 0.9655
0499 -  50.01 | 0.9655
0500 -  10.09 | 0.8970
0501 -  64.65 | 0.9106
0502 -  20.70 | 0.8679
0503 -  65.32 | 0.9594
0504 -  81.42 | 0.7751
0505 -  24.88 | 0.7713
0506 -  65.77 | 0.9781
0507 -   0.00 | 0.6513
0508 -  19.18 | 0.9469
0509 -  98.99 | 0.9377
0510 -  93.07 | 0.9534
0511 -  56.12 | 0.9763
0512 -  84.19 | 0.9241
0513 -  17.13 | 0.9732
0514 -  56.01 | 0.9141
0515 -  27.62 | 0.9467
0516 -  71.29 | 0.8445
0517 -  27.72 | 0.9069
0518 -  88.62 | 0.9573
0519 -  57.92 | 0.9795
0520 -  29.39 | 0.9679
0521 -  43.27 | 0.8664
0522 -  26.52 | 0.9549
0523 -  57.26 | 0.9745
0524 -   0.00 | 0.8721
0525 -  68.24 | 0.9645
0526 -  94.29 | 0.9676
0527 -  70.83 | 0.9711
0528 -  16.67 | 0.9601
0529 -   7.06 | 0.8295
0530 -   0.00 | 0.8555
0531 -  78.51 | 0.8245
0532 -  72.21 | 0.8253
0533 -  50.52 | 0.9653
0534 -  91.94 | 0.9585
0535 -   0.00 | 0.8054
0536 -  98.68 | 0.9636
0537 -  70.88 | 0.8211
0538 -  72.14 | 0.9446
0539 -  83.84 | 0.9331
0540 -  82.26 | 0.9060
0541 -  61.58 | 0.9090
0542 -  26.87 | 0.9386
0543 -   0.00 | 0.9478
0544 -   0.00 | 0.8721
0545 -  98.46 | 0.8775
0546 -  80.18 | 0.9049
0547 -  77.43 | 0.9660
0548 -  46.73 | 0.8623
0549 -  67.87 | 0.9274
0550 -  52.86 | 0.8971
0551 -  98.79 | 0.9117
0552 -  89.13 | 0.9649
0553 -   0.00 | 0.9349
0554 -  47.73 | 0.9370
0555 -  38.83 | 0.9811
0556 -   0.00 | 0.9112
0557 -  57.81 | 0.7634
0558 -  77.09 | 0.9803
0559 -   0.00 | 0.5975
0560 -  88.08 | 0.9189
0561 -  89.09 | 0.8898
0562 -  17.05 | 0.9788
0563 -  47.42 | 0.9866
0564 -  31.08 | 0.9606
0565 -  14.63 | 0.8953
0566 -  11.16 | 0.9076
0567 -   0.00 | 0.9531
0568 -  11.55 | 0.8755
0569 -   9.80 | 0.9690
0570 -  14.79 | 0.9415
0571 -   0.00 | 0.9504
0572 -   0.00 | 0.9851
0573 -  59.17 | 0.9465
0574 -   0.00 | 0.9687
0575 -  69.08 | 0.7893
0576 -  38.49 | 0.9620
0577 -  79.13 | 0.9592
0578 -  65.65 | 0.9867
0579 -  57.11 | 0.9429
0580 -  30.80 | 0.9804
0581 -  58.80 | 0.9236
0582 -  34.90 | 0.8859
0583 -  74.26 | 0.9661
0584 -  21.03 | 0.9401
0585 -  56.11 | 0.8473
0586 -  29.91 | 0.9767
0587 -  91.63 | 0.8591
0588 -  69.98 | 0.7647
0589 -  58.40 | 0.9339
0590 -   8.20 | 0.9564
0591 -  12.24 | 0.8681
0592 -  27.61 | 0.8068
0593 -  92.97 | 0.9830
0594 -  22.13 | 0.9137
0595 -  28.35 | 0.9640
0596 -  98.08 | 0.9155
0597 -   0.00 | 0.9212
0598 -  17.86 | 0.9709
0599 -   0.00 | 0.8237
0600 -  49.78 | 0.7463
0601 -  55.22 | 0.9039
0602 -  38.39 | 0.9068
0603 -  41.23 | 0.8833
0604 -  60.59 | 0.8933
0605 -  37.18 | 0.9373
0606 -  25.45 | 0.9475
0607 -  24.20 | 0.9562
0608 -  26.68 | 0.8893
0609 -   0.00 | 0.9286
0610 -  68.73 | 0.8809
0611 -  82.26 | 0.8274
0612 -  85.19 | 0.9551
0613 -  77.24 | 0.9855
0614 -  52.22 | 0.9155
0615 -  71.85 | 0.8932
0616 -  62.14 | 0.8807
0617 -  63.36 | 0.9417
0618 -   0.00 | 0.8802
0619 -   9.15 | 0.9213
0620 -  62.40 | 0.9560
0621 -  34.76 | 0.9557
0622 -  66.36 | 0.9321
0623 -  53.69 | 0.9612
0624 -  78.89 | 0.9350
0625 -  62.61 | 0.9604
0626 -  72.14 | 0.9518
0627 -  24.78 | 0.9510
0628 -  93.56 | 0.9632
0629 -  13.38 | 0.9545
0630 -   6.17 | 0.9593
0631 -  77.70 | 0.8823
0632 -  52.01 | 0.7461
0633 -  94.91 | 0.9802
0634 -  21.49 | 0.5918
0635 - 100.00 | 0.9328
0636 -  55.48 | 0.9385
0637 -  24.57 | 0.8236
0638 -  26.12 | 0.8978
0639 -  71.90 | 0.9267
0640 -  66.48 | 0.9418
0641 -  32.69 | 0.9127
0642 -  89.41 | 0.9558
0643 -  47.28 | 0.9905
0644 -  23.46 | 0.9042
0645 -  32.27 | 0.9023
0646 -  22.50 | 0.7690
0647 -  97.67 | 0.8754
