======================
BLEU:            72.96
SIM:            0.9083
======================
         BLEU | SIM
0258 -  43.55 | 0.8489
0259 -  62.90 | 0.8848
0260 -  40.09 | 0.9530
0261 -  77.60 | 0.9827
0262 -  80.34 | 0.9510
0263 -  39.63 | 0.8733
0264 -  20.91 | 0.9856
0265 -  36.37 | 0.7382
0266 -  19.00 | 0.9760
0267 -   0.00 | 0.8891
0268 -  66.87 | 0.7947
0269 -  51.47 | 0.9205
0270 -  99.28 | 0.9723
0271 -  36.84 | 0.9661
0272 -  32.11 | 0.8613
0273 -  77.46 | 0.9837
0274 -  94.44 | 0.9795
0275 -  94.97 | 0.8754
0276 -  17.96 | 0.9568
0277 -  60.41 | 0.9059
0278 -  68.35 | 0.8598
0279 -  97.42 | 0.8702
0280 -  90.08 | 0.8629
0281 -  92.48 | 0.9214
0282 -  93.36 | 0.9950
0283 -  34.29 | 0.8812
0284 -  23.08 | 0.8911
0285 -  59.14 | 0.9497
0286 -  60.88 | 0.9414
0287 -  99.66 | 0.8753
0288 -  71.52 | 0.9550
0289 -  34.71 | 0.9002
0290 -  99.76 | 0.9320
0291 -  33.54 | 0.8635
0292 -  53.76 | 0.9276
0293 -  36.31 | 0.9891
0294 -  33.93 | 0.9058
0295 -  22.22 | 0.9471
0296 -   0.00 | 0.9809
0297 -  61.17 | 0.9504
0298 -   9.37 | 0.9310
0299 -  22.26 | 0.9831
0300 -  77.50 | 0.9221
0301 -  45.26 | 0.9450
0302 -  64.51 | 0.9547
0303 -  42.43 | 0.9565
0304 -   0.00 | 0.7240
0305 -  98.82 | 0.9392
0306 -  67.37 | 0.9535
0307 -  27.48 | 0.8709
0308 -  99.76 | 0.9119
0309 -  15.62 | 0.8935
0310 -  53.89 | 0.9491
0311 -  33.62 | 0.7726
0312 -  63.51 | 0.8135
0313 -  63.85 | 0.9258
0314 -   0.00 | 0.9595
0315 -  83.41 | 0.8970
0316 -   0.00 | 0.9596
0317 -  16.57 | 0.9498
0318 -  70.28 | 0.9719
0319 -   9.53 | 0.9769
0320 -  69.20 | 0.9866
0321 -  86.25 | 0.9362
0322 -  31.53 | 0.8327
0323 -  19.45 | 0.9702
0324 -   0.00 | 0.9893
0325 -  22.79 | 0.9340
0326 -   0.00 | 0.9722
0327 -  36.87 | 0.7992
0328 -  30.95 | 0.9733
0329 -  44.56 | 0.9527
0330 -  19.90 | 0.9156
0331 -  28.92 | 0.8598
0332 -  39.64 | 0.8203
0333 -  67.06 | 0.9660
0334 -  57.03 | 0.9695
0335 -   0.00 | 0.9561
0336 -   7.58 | 0.9465
0337 -  81.32 | 0.9751
0338 -  14.63 | 0.9021
0339 -  96.39 | 0.9535
0340 -  84.91 | 0.9090
0341 -  64.85 | 0.7674
0342 -  47.00 | 0.9606
0343 -  20.67 | 0.9197
0344 -  54.78 | 0.9329
0345 -  12.58 | 0.9786
0346 -  16.02 | 0.9160
0347 -  76.47 | 0.9756
0348 -  68.89 | 0.9669
0349 -  33.20 | 0.7814
0350 -  61.95 | 0.8281
0351 -  19.25 | 0.9458
0352 -  99.81 | 0.9469
0353 -  37.29 | 0.9685
0354 -  36.68 | 0.9716
0355 -  66.36 | 0.8972
0356 -  99.68 | 0.9431
0357 -  73.20 | 0.9575
0358 -  17.11 | 0.8895
0359 -  38.01 | 0.9381
0360 -  21.64 | 0.9752
0361 -  74.21 | 0.9833
0362 -  14.98 | 0.9750
0363 -  53.98 | 0.9563
0364 -  51.15 | 0.9620
0365 -  12.84 | 0.8852
0366 -  87.68 | 0.9749
0367 -  88.68 | 0.9655
0368 -  45.13 | 0.7572
0369 -  54.22 | 0.9282
0370 -   0.00 | 0.9623
0371 -   0.00 | 0.9714
0372 -  68.70 | 0.9540
0373 -  16.49 | 0.8770
0374 -  29.20 | 0.9848
0375 -  45.46 | 0.9516
0376 -  69.32 | 0.9346
0377 -  40.15 | 0.8067
0378 -  70.91 | 0.9166
0379 -  29.53 | 0.9298
0380 -   4.02 | 0.9872
0381 -  65.77 | 0.9520
0382 -  99.68 | 0.8740
0383 -  72.57 | 0.8094
0384 -  26.37 | 0.9813
0385 -   0.00 | 0.9658
0386 -   0.00 | 0.9464
0387 -  33.42 | 0.9375
0388 -  55.07 | 0.9405
0389 -  85.74 | 0.9556
0390 -   0.00 | 0.9253
0391 -  21.53 | 0.8068
0392 -  99.72 | 0.9285
0393 -   0.00 | 0.7924
0394 -  50.31 | 0.9073
0395 -  57.41 | 0.9810
0396 -  47.52 | 0.9772
0397 -  73.28 | 0.9780
0398 -  86.81 | 0.9228
0399 -  63.51 | 0.8680
0400 -  73.86 | 0.8617
0401 -  20.73 | 0.9828
0402 -  78.09 | 0.9499
0403 -  76.08 | 0.9086
0404 -   8.52 | 0.9606
0405 -  79.24 | 0.9494
0406 -  49.34 | 0.9325
0407 -  63.36 | 0.8623
0408 -   7.83 | 0.9886
0409 -  22.07 | 0.9188
0410 -  87.12 | 0.9578
0411 -   0.00 | 0.8469
0412 -  52.35 | 0.9683
0413 -  53.27 | 0.8494
0414 -  14.06 | 0.8007
0415 -  38.17 | 0.9154
0416 -   8.86 | 0.9586
0417 -   0.00 | 0.7971
0418 -  99.85 | 0.9586
0419 -  11.17 | 0.7601
0420 -  22.80 | 0.9670
0421 -  56.54 | 0.8148
0422 -  51.15 | 0.7358
0423 -  48.50 | 0.9033
0424 -  27.97 | 0.9488
0425 -  25.67 | 0.8284
0426 -   0.00 | 0.9016
0427 -  23.58 | 0.9720
0428 -   6.84 | 0.9360
0429 -  94.52 | 0.8309
0430 -  99.84 | 0.9342
0431 -   0.00 | 0.9649
0432 -  66.07 | 0.9733
0433 -  34.94 | 0.7170
0434 -  48.79 | 0.9375
0435 -  99.82 | 0.8907
0436 -  92.02 | 0.9861
0437 -   0.00 | 0.8861
0438 -  73.47 | 0.9627
0439 -   0.00 | 0.9059
0440 -  99.86 | 0.9597
0441 -  48.80 | 0.7521
0442 -   0.00 | 0.9823
0443 -  37.46 | 0.8966
0444 -  71.84 | 0.9524
0445 -  76.47 | 0.9923
0446 -  46.02 | 0.9755
0447 -  48.88 | 0.8088
0448 -  39.35 | 0.6628
0449 -  38.99 | 0.9198
0450 -  14.66 | 0.9770
0451 -   0.00 | 0.8183
0452 -   0.00 | 0.7884
0453 -  38.62 | 0.5954
0454 -  57.17 | 0.9274
0455 -  99.75 | 0.8884
0456 -  99.81 | 0.9685
0457 -  76.04 | 0.9651
0458 -  48.67 | 0.6859
0459 -   0.00 | 0.9392
0460 -  11.98 | 0.9849
0461 -   9.10 | 0.8612
0462 -  90.72 | 0.9119
0463 -  99.82 | 0.9162
0464 -  62.76 | 0.8760
0465 -  81.36 | 0.9923
0466 -  38.37 | 0.9039
0467 -  87.85 | 0.9782
0468 -  94.35 | 0.9771
0469 -   6.40 | 0.9489
0470 -   0.00 | 0.9466
0471 -  55.04 | 0.9550
0472 -  69.95 | 0.7200
0473 -   7.24 | 0.9566
0474 -  20.71 | 0.9394
0475 -  39.31 | 0.9557
0476 -   0.00 | 0.9342
0477 -  32.94 | 0.9642
0478 -  70.15 | 0.8389
0479 -  54.81 | 0.9417
0480 -   0.00 | 0.8537
0481 -  74.66 | 0.9754
0482 -  22.65 | 0.9445
0483 -  18.89 | 0.9615
0484 -  17.74 | 0.8870
0485 -  61.35 | 0.9142
0486 -  78.02 | 0.9612
0487 -  99.85 | 0.9459
0488 -  36.68 | 0.9657
0489 -  44.06 | 0.9413
0490 -  89.71 | 0.9746
0491 -  14.04 | 0.9478
0492 -  43.01 | 0.8398
0493 -  99.81 | 0.9187
0494 -  20.70 | 0.8148
0495 -  20.81 | 0.9898
0496 -  29.54 | 0.9282
0497 -  63.78 | 0.8652
0498 -  79.74 | 0.9655
0499 -  52.64 | 0.9655
0500 -   0.00 | 0.8970
0501 -  65.47 | 0.9106
0502 -  16.34 | 0.8679
0503 -  69.07 | 0.9594
0504 -  67.92 | 0.7751
0505 -  25.03 | 0.7713
0506 -  65.33 | 0.9781
0507 -   0.00 | 0.6513
0508 -  20.91 | 0.9469
0509 -  98.37 | 0.9377
0510 -  11.41 | 0.9534
0511 -  55.66 | 0.9763
0512 -  79.94 | 0.9241
0513 -  17.55 | 0.9732
0514 -  90.58 | 0.9141
0515 -  27.05 | 0.9467
0516 -  62.11 | 0.8445
0517 -  30.02 | 0.9069
0518 -  59.95 | 0.9573
0519 -  56.95 | 0.9795
0520 -  29.32 | 0.9679
0521 -  42.27 | 0.8664
0522 -  24.85 | 0.9549
0523 -  53.84 | 0.9745
0524 -   5.95 | 0.8721
0525 -  14.17 | 0.9645
0526 -  91.55 | 0.9676
0527 -  70.23 | 0.9711
0528 -  18.41 | 0.9601
0529 -   6.42 | 0.8295
0530 -  31.86 | 0.8555
0531 -  80.48 | 0.8245
0532 -  67.29 | 0.8253
0533 -  48.61 | 0.9653
0534 -  91.67 | 0.9585
0535 -   0.00 | 0.8054
0536 - 100.00 | 0.9636
0537 -  67.05 | 0.8211
0538 -  70.74 | 0.9446
0539 -   7.15 | 0.9331
