==============================================
BLEU GOLD:                               28.01
BLEU IN:                                 37.20
SIM GOLD:                               0.8616
SIM IN:                                 0.8923
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0271 -     17.75 |   99.41 |     0.97 |   1.00
0272 -      0.00 |    0.00 |     0.00 |   0.03
0273 -      8.54 |   99.07 |     0.93 |   0.97
0274 -     29.27 |   29.40 |     0.93 |   0.94
0275 -     92.53 |  100.00 |     1.00 |   1.00
0276 -     91.00 |   98.19 |     0.98 |   1.00
0277 -     39.27 |   38.28 |     0.94 |   0.96
0278 -     86.63 |   94.77 |     0.89 |   0.98
0279 -     68.60 |   77.76 |     0.90 |   0.91
0280 -     51.48 |   83.12 |     0.97 |   0.97
0281 -      0.00 |    0.00 |     0.90 |   0.92
0282 -     12.05 |   10.21 |     0.93 |   0.93
0283 -     53.32 |  100.00 |     0.98 |   1.00
0284 -     92.69 |   92.60 |     0.96 |   0.94
0285 -     20.54 |   17.45 |     0.82 |   0.82
0286 -      0.00 |    0.00 |     0.75 |   0.78
0287 -     62.73 |    5.53 |     0.95 |   0.97
0288 -      0.00 |    0.00 |     0.97 |   0.97
0289 -      9.06 |    0.00 |     0.71 |   0.71
0290 -     71.53 |   95.74 |     0.96 |   0.98
0291 -     62.20 |  100.00 |     0.87 |   1.00
0292 -      3.55 |    4.41 |     0.74 |   0.73
0293 -     58.35 |   75.04 |     0.95 |   0.99
0294 -     57.74 |   68.23 |     0.95 |   0.96
0295 -     14.12 |   12.19 |     0.89 |   0.97
0296 -      9.91 |    9.71 |     0.93 |   0.94
0297 -     90.89 |   95.84 |     0.95 |   0.98
0298 -      7.54 |   10.97 |     0.95 |   0.98
0299 -     20.54 |   79.72 |     0.94 |   0.95
0300 -     22.82 |   23.23 |     0.94 |   0.96
0301 -     74.71 |   88.01 |     0.83 |   0.91
0302 -      0.00 |    0.00 |     0.52 |   0.52
0303 -     12.99 |   13.91 |     0.72 |   0.77
0304 -      0.00 |    0.00 |     0.85 |   0.88
0305 -     30.22 |   17.62 |     0.94 |   0.96
0306 -      0.00 |    0.00 |     0.88 |   0.88
