==============================================
BLEU GOLD:                               29.67
BLEU IN:                                 53.27
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0179 -     21.19 |  100.00 |     0.88 |   1.00
0180 -     14.43 |   12.73 |     0.85 |   1.00
0181 -      0.00 |    0.00 |     0.86 |   0.94
0182 -     11.04 |   97.76 |     0.84 |   0.95
0183 -      0.00 |    0.00 |     0.75 |   0.73
0184 -      0.00 |  100.00 |     0.98 |   1.00
0185 -     33.83 |  100.00 |     0.59 |   1.00
0186 -      0.00 |   45.37 |     0.76 |   0.99
0187 -      0.00 |    0.00 |     0.86 |   0.91
0188 -      0.00 |   29.52 |     0.94 |   0.99
0189 -      0.00 |    0.00 |     0.84 |   0.95
0190 -     21.09 |   22.40 |     0.95 |   0.99
0191 -      8.39 |  100.00 |     0.98 |   1.00
0192 -      0.00 |    0.00 |     0.78 |   0.95
0193 -     70.19 |  100.00 |     0.88 |   1.00
0194 -     68.09 |   97.77 |     0.89 |   0.94
0195 -     93.70 |   93.33 |     0.92 |   0.97
0196 -     30.62 |   29.43 |     0.91 |   0.99
0197 -     97.88 |  100.00 |     0.89 |   1.00
0198 -      0.00 |    0.00 |     0.66 |   0.84
0199 -     18.41 |   57.21 |     0.94 |   0.98
0200 -      0.00 |    0.00 |     0.91 |   1.00
0201 -     54.63 |   53.48 |     0.87 |   0.99
0202 -      0.00 |    0.00 |     0.92 |   0.97
0203 -      0.00 |  100.00 |     0.97 |   1.00
0204 -      0.00 |   13.31 |     0.72 |   0.85
0205 -     93.97 |   98.39 |     0.95 |   0.97
0206 -     12.72 |  100.00 |     0.98 |   1.00
0207 -     40.20 |   40.69 |     0.97 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -     80.29 |   55.94 |     0.95 |   0.92
0210 -      0.00 |    0.00 |     0.92 |   0.95
0211 -      0.00 |    0.00 |     0.85 |   0.98
0212 -     37.00 |   38.15 |     0.91 |   1.00
0213 -     41.24 |   57.07 |     0.86 |   0.95
0214 -      7.44 |    6.50 |     0.88 |   0.98
0215 -     86.43 |   81.73 |     0.96 |   1.00
0216 -      6.30 |   97.18 |     0.96 |   1.00
0217 -     14.64 |    9.93 |     0.91 |   0.95
0218 -      0.00 |   44.93 |     0.81 |   0.94
