==============================================
BLEU GOLD:                               71.86
BLEU IN:                                 80.38
ACC GOLD:                               0.0024
ACC IN:                                 0.2308
SIM GOLD:                               0.9207
SIM IN:                                 0.9558
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0147 -      0.00 |    0.00 |     0.96 |   0.97
0148 -     24.49 |   84.05 |     0.98 |   1.00
0149 -     93.53 |  100.00 |     0.97 |   1.00
0150 -      5.36 |  100.00 |     0.99 |   1.00
0151 -      6.59 |   86.02 |     0.93 |   0.95
0152 -      9.24 |   10.57 |     0.91 |   0.96
0153 -     90.29 |  100.00 |     0.90 |   1.00
0154 -     25.22 |   81.69 |     0.91 |   0.94
0155 -     32.33 |   30.98 |     0.95 |   0.98
0156 -     68.21 |  100.00 |     0.99 |   1.00
0157 -     27.46 |   27.46 |     0.93 |   0.99
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -      0.00 |    0.00 |     0.93 |   0.96
0160 -     46.24 |    0.00 |     0.84 |   0.91
0161 -     91.68 |   99.41 |     0.93 |   0.98
0162 -     31.38 |   99.82 |     0.96 |   0.98
0163 -     47.09 |   56.44 |     0.92 |   0.93
0164 -     32.34 |   32.34 |     0.91 |   0.93
0165 -      0.00 |    0.00 |     0.96 |   0.98
0166 -     32.27 |   99.82 |     0.98 |   0.99
0167 -      0.00 |    0.00 |     0.89 |   0.99
0168 -     64.25 |   21.47 |     0.98 |   0.99
0169 -     92.61 |   99.76 |     0.96 |   0.95
0170 -     28.92 |   65.58 |     0.86 |   0.90
0171 -      0.00 |    9.47 |     0.95 |   0.98
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     92.76 |  100.00 |     0.98 |   1.00
0174 -     67.62 |  100.00 |     0.98 |   1.00
0175 -      6.53 |    6.91 |     0.91 |   0.93
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     70.74 |   70.74 |     0.96 |   0.95
0178 -     65.79 |  100.00 |     0.91 |   1.00
0179 -    100.00 |   81.03 |     1.00 |   0.91
0180 -     65.37 |   76.80 |     0.94 |   0.94
0181 -     27.36 |   27.77 |     0.92 |   0.90
0182 -      0.00 |    0.00 |     0.79 |   0.81
0183 -     70.47 |   91.50 |     0.95 |   0.99
0184 -      6.34 |    5.97 |     0.95 |   0.99
0185 -     42.62 |   96.80 |     0.97 |   0.99
0186 -      0.00 |    6.75 |     0.90 |   0.91
0187 -     49.33 |   63.88 |     0.91 |   0.98
0188 -     76.31 |  100.00 |     0.95 |   1.00
0189 -     44.68 |  100.00 |     0.84 |   1.00
0190 -      0.00 |    0.00 |     0.74 |   0.80
0191 -     27.20 |   69.45 |     0.96 |   0.91
0192 -     62.07 |    0.00 |     0.81 |   0.85
0193 -      0.00 |    0.00 |     0.94 |   1.00
0194 -      0.00 |    0.00 |     0.98 |   0.99
0195 -     66.95 |  100.00 |     0.99 |   1.00
0196 -      0.00 |    0.00 |     0.92 |   0.92
0197 -     26.35 |   23.99 |     0.93 |   1.00
0198 -     14.34 |   14.64 |     0.94 |   0.98
0199 -     90.79 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    0.00 |     0.89 |   0.89
0201 -     14.05 |   34.02 |     0.91 |   0.94
0202 -     54.47 |   97.33 |     0.96 |   1.00
0203 -     37.47 |   93.21 |     0.94 |   0.99
0204 -     17.56 |  100.00 |     1.00 |   1.00
0205 -      0.00 |    0.00 |     0.86 |   0.92
0206 -     24.76 |   30.37 |     0.99 |   1.00
0207 -     91.79 |  100.00 |     0.98 |   1.00
0208 -      0.00 |   17.39 |     0.95 |   0.91
0209 -     91.82 |   98.77 |     0.84 |   0.88
0210 -     36.21 |   82.66 |     0.96 |   0.98
0211 -     24.74 |  100.00 |     0.97 |   1.00
0212 -     26.61 |   69.82 |     0.98 |   1.00
0213 -     39.49 |  100.00 |     0.98 |   1.00
0214 -      5.90 |   99.66 |     0.96 |   1.00
0215 -      0.00 |    0.00 |     0.88 |   0.91
0216 -     29.12 |   35.04 |     0.93 |   0.94
0217 -      0.00 |    0.00 |     0.71 |   0.88
0218 -     52.50 |   99.22 |     0.91 |   0.92
0219 -     35.36 |   99.34 |     0.90 |   0.93
0220 -     43.42 |   50.64 |     0.85 |   0.93
0221 -     81.95 |  100.00 |     0.89 |   1.00
0222 -      0.00 |   95.62 |     0.97 |   0.98
0223 -      0.00 |    0.00 |     0.93 |   1.00
0224 -      0.00 |    0.00 |     0.99 |   1.00
0225 -      0.00 |    0.00 |     0.97 |   1.00
0226 -     67.75 |  100.00 |     0.96 |   1.00
0227 -      0.00 |    0.00 |     0.94 |   1.00
0228 -      0.00 |    0.00 |     0.91 |   0.95
0229 -      0.00 |    0.00 |     0.91 |   0.92
0230 -     73.55 |   90.13 |     0.95 |   0.97
0231 -      0.00 |    0.00 |     0.90 |   0.91
0232 -      0.00 |    0.00 |     0.97 |   0.96
0233 -     52.43 |   68.40 |     0.91 |   0.96
0234 -     10.80 |   10.28 |     0.94 |   0.95
0235 -      0.00 |    0.00 |     0.85 |   0.91
0236 -      0.00 |  100.00 |     0.94 |   1.00
0237 -      0.00 |    0.00 |     0.95 |   0.99
0238 -     66.52 |  100.00 |     0.98 |   1.00
0239 -     53.72 |  100.00 |     0.97 |   1.00
0240 -     11.10 |   99.76 |     0.94 |   0.96
0241 -     15.95 |   15.42 |     0.85 |   0.87
0242 -     16.73 |   52.66 |     0.99 |   1.00
0243 -     70.31 |  100.00 |     0.89 |   1.00
0244 -      8.61 |    9.65 |     0.89 |   0.92
0245 -      0.00 |    0.00 |     0.89 |   0.90
0246 -      0.00 |    0.00 |     0.87 |   0.88
0247 -     96.88 |  100.00 |     0.99 |   1.00
0248 -     16.88 |   88.16 |     0.91 |   0.95
0249 -     21.74 |   21.67 |     0.89 |   1.00
0250 -      0.00 |   15.05 |     0.93 |   0.94
0251 -     69.54 |  100.00 |     0.94 |   1.00
0252 -      0.00 |   43.41 |     0.97 |   0.96
0253 -      4.02 |    0.00 |     0.95 |   0.98
0254 -     36.99 |   67.78 |     0.93 |   0.96
0255 -     13.58 |  100.00 |     0.95 |   1.00
0256 -      9.20 |  100.00 |     0.98 |   1.00
0257 -      0.00 |    0.00 |     0.88 |   0.87
0258 -      0.00 |    0.00 |     0.88 |   0.92
0259 -     86.47 |  100.00 |     0.94 |   1.00
0260 -     81.01 |  100.00 |     0.85 |   1.00
0261 -     88.48 |   99.75 |     0.80 |   0.94
0262 -      0.00 |    0.00 |     0.93 |   0.93
0263 -     55.07 |  100.00 |     0.84 |   1.00
0264 -     29.68 |  100.00 |     0.90 |   1.00
0265 -      0.00 |    0.00 |     0.75 |   0.80
0266 -     15.18 |   14.48 |     0.94 |   0.99
0267 -     84.00 |    0.00 |     0.97 |   0.99
0268 -     12.41 |   12.27 |     0.84 |   0.92
0269 -     72.76 |  100.00 |     0.99 |   0.99
0270 -     45.53 |  100.00 |     0.96 |   1.00
0271 -     17.72 |   98.90 |     0.96 |   0.98
0272 -     73.08 |   31.24 |     0.90 |   0.96
0273 -      7.38 |   99.81 |     0.92 |   0.98
0274 -     53.29 |   57.81 |     0.94 |   0.95
0275 -     92.54 |   99.28 |     0.97 |   0.97
0276 -     52.48 |  100.00 |     0.98 |   1.00
0277 -      0.00 |    0.00 |     0.97 |   0.99
0278 -     23.16 |   87.39 |     0.86 |   0.95
0279 -     31.78 |   43.15 |     0.85 |   0.85
0280 -     49.68 |   99.41 |     0.95 |   0.95
0281 -      0.00 |    0.00 |     0.97 |   0.95
0282 -     41.79 |   37.98 |     0.97 |   0.99
0283 -     49.02 |  100.00 |     0.98 |   1.00
0284 -     91.23 |  100.00 |     0.96 |   0.97
0285 -     72.15 |   84.06 |     0.96 |   0.94
0286 -     10.49 |    9.83 |     0.94 |   0.96
0287 -     32.85 |   84.15 |     0.92 |   0.95
0288 -      0.00 |    0.00 |     0.77 |   0.77
0289 -      0.00 |   93.58 |     0.96 |   0.98
0290 -     73.09 |  100.00 |     0.98 |   1.00
0291 -     45.67 |  100.00 |     0.87 |   1.00
0292 -      0.00 |    0.00 |     0.89 |   0.89
0293 -     58.35 |   75.04 |     0.95 |   0.99
0294 -     54.73 |   68.94 |     0.98 |   0.99
0295 -     11.37 |  100.00 |     0.72 |   0.85
0296 -     95.05 |   99.70 |     0.98 |   1.00
0297 -     30.24 |   31.80 |     0.95 |   0.99
0298 -      0.00 |   11.26 |     0.95 |   0.97
0299 -     21.48 |   99.80 |     0.95 |   0.96
0300 -     71.38 |   94.33 |     0.94 |   0.96
0301 -     85.02 |   98.38 |     0.91 |   0.99
0302 -      0.00 |    0.00 |     0.88 |   0.86
0303 -     48.25 |   48.25 |     0.95 |   1.00
0304 -      0.00 |   14.22 |     0.83 |   0.85
0305 -     25.19 |   24.06 |     0.98 |   1.00
0306 -      0.00 |   17.61 |     0.91 |   0.93
0307 -     24.26 |  100.00 |     0.93 |   1.00
0308 -      8.86 |    0.00 |     0.82 |   0.85
0309 -     82.40 |   32.02 |     0.97 |   0.99
0310 -     11.60 |  100.00 |     0.95 |   1.00
0311 -     65.27 |  100.00 |     0.99 |   1.00
0312 -      8.99 |    9.17 |     0.88 |   0.89
0313 -     57.66 |   99.69 |     0.90 |   0.97
0314 -      0.00 |    0.00 |     0.97 |   1.00
0315 -     84.36 |  100.00 |     0.97 |   1.00
0316 -     53.47 |  100.00 |     0.98 |   0.99
0317 -     11.18 |   10.63 |     0.96 |   0.97
0318 -     61.58 |  100.00 |     0.87 |   1.00
0319 -     46.01 |   46.82 |     0.96 |   0.99
0320 -     21.66 |   26.31 |     0.93 |   0.96
0321 -     45.76 |   82.05 |     0.92 |   0.93
0322 -     33.48 |   38.73 |     0.98 |   0.99
0323 -      0.00 |    0.00 |     0.98 |   1.00
0324 -      0.00 |   56.95 |     0.83 |   0.90
0325 -      0.00 |    0.00 |     0.66 |   0.81
0326 -     43.45 |   43.26 |     0.97 |   0.98
0327 -     92.82 |   99.81 |     0.97 |   0.99
0328 -     12.24 |   92.33 |     0.98 |   0.99
0329 -     20.37 |   20.66 |     0.95 |   0.99
0330 -     66.86 |  100.00 |     0.91 |   1.00
0331 -     56.47 |    0.00 |     0.94 |   0.99
0332 -     25.81 |   95.58 |     0.89 |   0.92
0333 -      0.00 |    0.00 |     0.95 |   1.00
0334 -      8.06 |   24.89 |     0.96 |   1.00
0335 -      0.00 |    0.00 |     0.92 |   0.94
0336 -     64.94 |   99.36 |     0.89 |   0.97
0337 -      0.00 |    0.00 |     0.99 |   0.99
0338 -      0.00 |   85.00 |     0.89 |   0.96
0339 -     15.71 |   96.00 |     0.97 |   1.00
0340 -     16.56 |   12.80 |     0.97 |   0.97
0341 -     14.56 |   14.56 |     0.94 |   0.95
0342 -      0.00 |    0.00 |     0.84 |   0.86
0343 -      0.00 |    0.00 |     0.97 |   0.98
0344 -     45.04 |   82.39 |     0.92 |   0.94
0345 -     54.07 |  100.00 |     0.98 |   1.00
0346 -     81.12 |   86.87 |     0.91 |   0.91
0347 -      0.00 |    0.00 |     0.89 |   0.90
0348 -     14.40 |   14.10 |     0.96 |   0.97
0349 -     65.02 |  100.00 |     0.98 |   1.00
0350 -     42.00 |  100.00 |     0.95 |   1.00
0351 -     96.25 |  100.00 |     0.98 |   1.00
0352 -     90.12 |  100.00 |     0.87 |   1.00
0353 -     81.17 |   84.81 |     0.98 |   0.99
0354 -     14.27 |   13.47 |     0.92 |   0.93
0355 -     14.27 |   13.26 |     0.91 |   0.92
0356 -     58.70 |  100.00 |     1.00 |   1.00
0357 -     75.49 |  100.00 |     0.98 |   1.00
0358 -     72.66 |  100.00 |     0.92 |   1.00
0359 -     92.92 |   98.61 |     0.98 |   1.00
0360 -     33.27 |   99.71 |     0.90 |   0.97
0361 -      0.00 |    0.00 |     0.93 |   0.92
0362 -     15.04 |    0.00 |     0.98 |   1.00
0363 -      5.93 |   84.11 |     0.96 |   0.98
0364 -     93.32 |  100.00 |     0.96 |   1.00
0365 -     96.33 |  100.00 |     0.99 |   1.00
0366 -     88.10 |  100.00 |     0.94 |   1.00
0367 -      0.00 |    0.00 |     0.94 |   0.98
0368 -     59.63 |   75.68 |     0.82 |   0.89
0369 -     66.27 |   99.76 |     0.90 |   0.91
0370 -      0.00 |    0.00 |     0.96 |   0.97
0371 -     12.13 |   72.65 |     0.83 |   0.85
0372 -      0.00 |   69.46 |     0.98 |   0.98
0373 -     95.60 |   99.82 |     0.95 |   0.99
0374 -      5.24 |   82.87 |     0.94 |   0.96
0375 -     91.09 |  100.00 |     0.91 |   1.00
0376 -      0.00 |    0.00 |     0.85 |   0.85
0377 -     89.17 |   80.30 |     0.93 |   0.95
0378 -     32.16 |   45.06 |     0.78 |   0.87
0379 -     36.93 |   26.51 |     0.96 |   0.99
0380 -      0.00 |    0.00 |     0.98 |   1.00
0381 -      0.00 |   73.02 |     0.84 |   0.85
0382 -     90.76 |  100.00 |     0.93 |   1.00
0383 -     25.01 |   25.72 |     0.94 |   0.99
0384 -      0.00 |    0.00 |     0.92 |   0.95
0385 -      0.00 |   77.91 |     0.96 |   0.98
0386 -     67.20 |  100.00 |     0.99 |   1.00
0387 -     38.22 |   95.74 |     0.93 |   0.94
0388 -     20.93 |   99.84 |     0.95 |   0.97
0389 -     92.29 |  100.00 |     0.95 |   1.00
0390 -     16.81 |   20.48 |     0.98 |   0.99
0391 -     20.42 |   20.42 |     0.75 |   0.93
0392 -      0.00 |    0.00 |     0.87 |   0.89
0393 -     36.81 |   94.26 |     0.94 |   0.99
0394 -     29.76 |   54.25 |     0.90 |   0.93
0395 -      0.00 |    0.00 |     0.99 |   0.99
0396 -      0.00 |    0.00 |     0.98 |   0.99
0397 -     70.48 |   77.14 |     0.89 |   0.93
0398 -     22.98 |  100.00 |     0.97 |   1.00
0399 -     81.78 |  100.00 |     0.96 |   1.00
0400 -      0.00 |    0.00 |     0.91 |   0.93
0401 -      8.25 |    8.25 |     0.94 |   0.96
0402 -     32.68 |   99.86 |     0.96 |   0.98
0403 -     26.67 |   97.91 |     0.88 |   0.91
0404 -     44.30 |   98.31 |     0.93 |   0.94
0405 -     67.03 |  100.00 |     0.97 |   1.00
0406 -      0.00 |   10.62 |     0.92 |   0.95
0407 -     80.81 |   98.46 |     0.96 |   1.00
0408 -      4.02 |    4.02 |     0.94 |   0.96
0409 -     95.84 |  100.00 |     0.99 |   1.00
0410 -     92.57 |  100.00 |     0.97 |   1.00
0411 -      0.00 |    0.00 |     0.92 |   0.94
0412 -      9.32 |    8.62 |     0.93 |   0.91
0413 -     47.48 |   47.13 |     0.95 |   0.97
0414 -     42.71 |    0.00 |     0.93 |   0.96
0415 -      0.00 |    0.00 |     0.94 |   0.97
0416 -      0.00 |    0.00 |     0.97 |   1.00
0417 -      0.00 |    0.00 |     0.95 |   1.00
0418 -      0.00 |    0.00 |     0.95 |   0.97
0419 -     56.30 |  100.00 |     0.99 |   1.00
0420 -      0.00 |    0.00 |     0.85 |   0.90
0421 -     34.39 |   66.30 |     0.97 |   1.00
0422 -     24.36 |   99.77 |     0.97 |   0.98
0423 -     96.07 |   20.79 |     0.97 |   1.00
0424 -     77.70 |   73.14 |     0.94 |   0.97
0425 -      0.00 |    0.00 |     0.82 |   0.84
0426 -     79.59 |   90.59 |     0.88 |   0.95
0427 -      5.22 |   90.15 |     0.97 |   0.99
0428 -     58.44 |   58.16 |     0.91 |   0.92
0429 -     80.22 |   56.71 |     0.95 |   0.99
0430 -     88.01 |  100.00 |     0.94 |   1.00
0431 -     53.50 |   89.61 |     0.97 |   1.00
0432 -      0.00 |    0.00 |     0.98 |   0.99
0433 -      0.00 |    0.00 |     0.68 |   0.70
0434 -     68.97 |  100.00 |     0.95 |   1.00
0435 -     34.42 |   99.80 |     0.96 |   0.98
0436 -      7.57 |   65.22 |     0.97 |   0.99
0437 -      6.74 |    5.60 |     0.95 |   0.96
0438 -     49.70 |   99.40 |     0.93 |   0.96
0439 -     22.46 |   36.35 |     0.93 |   0.95
0440 -      4.40 |    4.24 |     0.94 |   0.95
0441 -     87.34 |   94.78 |     0.98 |   0.98
0442 -     62.95 |    8.99 |     0.98 |   1.00
0443 -     47.40 |  100.00 |     0.92 |   1.00
0444 -      0.00 |    0.00 |     0.89 |   0.90
0445 -     61.28 |  100.00 |     0.91 |   1.00
0446 -     43.37 |   73.81 |     0.95 |   0.96
0447 -     44.39 |  100.00 |     0.90 |   1.00
0448 -     50.05 |   54.28 |     0.97 |   0.98
0449 -     64.63 |  100.00 |     0.96 |   1.00
0450 -      0.00 |    0.00 |     0.96 |   0.97
0451 -      9.65 |   17.41 |     0.97 |   0.98
0452 -      0.00 |    0.00 |     0.92 |   0.93
0453 -      0.00 |    0.00 |     0.89 |   0.91
0454 -      0.00 |    0.00 |     0.93 |   0.95
0455 -      0.00 |    0.00 |     0.99 |   1.00
0456 -      7.68 |   98.61 |     0.89 |   0.90
0457 -     88.27 |  100.00 |     0.94 |   1.00
0458 -     45.10 |   45.28 |     0.99 |   1.00
0459 -      0.00 |    0.00 |     0.85 |   0.93
0460 -     69.53 |    0.00 |     0.96 |   0.96
0461 -     62.04 |   98.59 |     0.93 |   0.99
0462 -     68.83 |  100.00 |     0.97 |   1.00
0463 -     19.41 |  100.00 |     0.95 |   1.00
0464 -      0.00 |   28.21 |     0.90 |   0.94
0465 -     88.79 |  100.00 |     0.97 |   1.00
0466 -     16.42 |   27.21 |     0.84 |   0.94
