==============================================
BLEU GOLD:                               53.80
BLEU IN:                                 59.97
ACC GOLD:                               0.0036
ACC IN:                                 0.0697
SIM GOLD:                               0.8373
SIM IN:                                 0.8667
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0244 -      9.38 |    9.02 |     0.86 |   0.88
0245 -      9.89 |    8.92 |     0.85 |   0.86
0246 -     10.65 |   11.31 |     0.57 |   0.65
0247 -      6.94 |    6.94 |     0.92 |   0.92
0248 -      0.00 |    5.27 |     0.71 |   0.69
0249 -     48.58 |   47.95 |     0.76 |   0.89
0250 -      0.00 |   12.42 |     0.54 |   0.55
0251 -      0.00 |    0.00 |     0.90 |   0.94
0252 -     34.65 |    0.00 |     0.65 |   0.65
0253 -      0.00 |    0.00 |     0.71 |   0.75
0254 -      6.70 |    7.24 |     0.72 |   0.73
0255 -     13.58 |  100.00 |     0.95 |   1.00
0256 -     65.68 |    8.84 |     0.89 |   0.88
0257 -      0.00 |    0.00 |     0.80 |   0.80
0258 -      0.00 |    0.00 |     0.56 |   0.58
0259 -     86.47 |  100.00 |     0.94 |   1.00
0260 -     21.64 |   21.64 |     0.33 |   0.33
0261 -      0.00 |    0.00 |     0.66 |   0.74
0262 -      6.08 |    5.82 |     0.89 |   0.89
0263 -     45.68 |   23.68 |     0.82 |   0.98
0264 -     29.68 |  100.00 |     0.90 |   1.00
0265 -      5.43 |    5.50 |     0.71 |   0.72
0266 -     63.86 |  100.00 |     0.95 |   1.00
0267 -      0.00 |    0.00 |     0.91 |   0.94
0268 -     42.47 |   42.47 |     0.82 |   0.81
0269 -      0.00 |    0.00 |     0.95 |   0.96
0270 -     45.53 |  100.00 |     0.96 |   1.00
0271 -      5.05 |    6.60 |     0.81 |   0.85
0272 -     62.60 |   21.43 |     0.92 |   0.98
0273 -      8.55 |   24.50 |     0.87 |   0.92
0274 -      0.00 |    0.00 |     0.85 |   0.86
0275 -     92.41 |  100.00 |     1.00 |   1.00
0276 -     66.09 |   24.14 |     0.95 |   0.98
0277 -     68.72 |   71.09 |     0.92 |   0.94
0278 -     24.96 |   99.64 |     0.87 |   0.94
0279 -      0.00 |    0.00 |     0.62 |   0.63
0280 -     51.29 |   68.48 |     0.91 |   0.92
0281 -      0.00 |    0.00 |     0.93 |   0.95
0282 -     58.02 |   34.32 |     0.96 |   0.97
0283 -     49.02 |  100.00 |     0.98 |   1.00
0284 -      0.00 |    0.00 |     0.92 |   0.94
0285 -     15.20 |   15.64 |     0.84 |   0.84
0286 -     22.78 |   20.58 |     0.85 |   0.88
0287 -     22.51 |   23.71 |     0.83 |   0.85
0288 -     92.87 |    0.00 |     0.87 |   0.87
0289 -      0.00 |  100.00 |     0.97 |   1.00
0290 -     65.20 |   90.68 |     0.95 |   0.97
0291 -     69.03 |   45.67 |     0.87 |   1.00
0292 -      0.00 |    0.00 |     0.76 |   0.77
0293 -      0.00 |    0.00 |     0.57 |   0.61
0294 -      0.00 |    0.00 |     0.95 |   0.97
0295 -     14.44 |   11.30 |     0.91 |   1.00
0296 -     95.05 |   99.70 |     0.98 |   1.00
0297 -      0.00 |    0.00 |     0.66 |   0.71
0298 -      0.00 |    0.00 |     0.80 |   0.82
0299 -     21.73 |   23.39 |     0.82 |   0.82
0300 -      0.00 |    0.00 |     0.83 |   0.84
0301 -     21.91 |   21.91 |     0.78 |   0.88
0302 -      0.00 |    0.00 |     0.52 |   0.50
0303 -     40.53 |   33.68 |     0.85 |   0.89
0304 -      0.00 |    0.00 |     0.81 |   0.83
0305 -     16.20 |   36.11 |     0.82 |   0.85
0306 -      0.00 |    0.00 |     0.76 |   0.78
0307 -     24.26 |  100.00 |     0.93 |   1.00
0308 -     16.30 |   16.90 |     0.86 |   0.87
0309 -      0.00 |    0.00 |     0.63 |   0.61
0310 -     11.81 |   64.65 |     0.85 |   0.90
0311 -     65.27 |  100.00 |     0.99 |   1.00
0312 -      0.00 |    0.00 |     0.88 |   0.89
0313 -     59.54 |  100.00 |     0.88 |   0.95
0314 -      0.00 |    0.00 |     0.60 |   0.65
0315 -     84.36 |  100.00 |     0.97 |   1.00
0316 -     52.30 |   75.99 |     0.94 |   0.95
0317 -     19.83 |   18.60 |     0.93 |   0.93
0318 -      0.00 |    0.00 |     0.65 |   0.75
0319 -     50.30 |   51.97 |     0.82 |   0.83
0320 -      0.00 |    7.75 |     0.88 |   0.91
0321 -     44.22 |   33.37 |     0.79 |   0.79
0322 -      7.67 |    7.73 |     0.76 |   0.75
0323 -      0.00 |    7.39 |     0.98 |   0.99
0324 -      0.00 |   22.73 |     0.55 |   0.63
0325 -     68.73 |   82.41 |     0.72 |   0.89
0326 -     36.06 |   35.84 |     0.96 |   0.98
0327 -     92.42 |   99.38 |     0.96 |   0.98
0328 -      9.52 |   14.16 |     0.96 |   0.96
0329 -      0.00 |    0.00 |     0.49 |   0.51
0330 -     98.84 |   67.74 |     0.99 |   0.91
0331 -      0.00 |    0.00 |     0.48 |   0.48
0332 -     26.51 |   94.23 |     0.93 |   0.97
0333 -      0.00 |    0.00 |     0.95 |   1.00
0334 -     59.00 |   73.34 |     0.95 |   0.98
0335 -     20.27 |   20.34 |     0.86 |   0.87
0336 -     40.82 |   40.01 |     0.90 |   0.99
0337 -      0.00 |    0.00 |     0.93 |   0.94
0338 -      0.00 |   69.90 |     0.86 |   0.93
0339 -     10.12 |    0.00 |     0.93 |   0.96
0340 -     77.96 |   83.62 |     0.95 |   0.96
0341 -      0.00 |    0.00 |     0.78 |   0.80
0342 -      0.00 |   13.54 |     0.76 |   0.81
0343 -     58.25 |   35.51 |     0.95 |   0.96
0344 -     85.98 |   55.77 |     0.89 |   0.90
0345 -     53.86 |   97.43 |     0.98 |   1.00
0346 -      4.58 |    4.70 |     0.61 |   0.61
0347 -      0.00 |    0.00 |     0.81 |   0.83
0348 -     48.96 |   99.48 |     0.93 |   0.95
0349 -      0.00 |    0.00 |     0.79 |   0.79
