==============================================
BLEU GOLD:                               65.17
BLEU IN:                                 88.27
ACC GOLD:                               0.0030
ACC IN:                                 0.3730
SIM GOLD:                               0.8905
SIM IN:                                 0.9765
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0250 -      0.00 |    0.00 |     0.84 |   0.80
0251 -      0.00 |   99.86 |     0.96 |   0.99
0252 -     41.43 |   91.06 |     0.83 |   0.98
0253 -      3.09 |    0.00 |     0.81 |   1.00
0254 -      0.00 |    5.64 |     0.98 |   0.99
0255 -      6.74 |   27.20 |     0.59 |   0.76
0256 -      0.00 |    0.00 |     0.91 |   0.96
0257 -      0.00 |   93.76 |     0.86 |   0.99
0258 -     43.78 |  100.00 |     0.85 |   1.00
0259 -     63.65 |  100.00 |     0.88 |   1.00
0260 -     40.70 |  100.00 |     0.95 |   1.00
0261 -     28.34 |   10.95 |     0.97 |   0.99
0262 -     74.20 |   79.46 |     0.89 |   0.94
0263 -     38.93 |   99.79 |     0.86 |   0.97
0264 -     20.82 |   99.78 |     0.96 |   0.97
0265 -     34.90 |  100.00 |     0.74 |   1.00
0266 -     19.49 |   98.26 |     0.96 |   0.97
0267 -      0.00 |  100.00 |     0.89 |   1.00
0268 -     58.60 |   52.04 |     0.79 |   0.98
0269 -     51.76 |  100.00 |     0.92 |   1.00
0270 -     99.52 |  100.00 |     0.97 |   1.00
0271 -     19.02 |   22.32 |     0.96 |   1.00
0272 -     33.73 |  100.00 |     0.86 |   1.00
0273 -      0.00 |    0.00 |     0.98 |   1.00
0274 -     93.31 |  100.00 |     0.98 |   1.00
0275 -     94.98 |  100.00 |     0.88 |   1.00
0276 -      0.00 |    0.00 |     0.78 |   0.84
0277 -     61.93 |  100.00 |     0.91 |   1.00
0278 -     71.11 |  100.00 |     0.86 |   1.00
0279 -     98.29 |   93.62 |     0.90 |   0.95
0280 -     28.21 |   21.53 |     0.87 |   0.96
0281 -     92.79 |  100.00 |     0.92 |   1.00
0282 -      0.00 |    0.00 |     0.97 |   0.98
0283 -     33.30 |  100.00 |     0.88 |   1.00
0284 -     21.44 |   94.20 |     0.88 |   0.99
0285 -     61.07 |  100.00 |     0.95 |   1.00
0286 -     56.41 |   99.81 |     0.90 |   0.97
0287 -     99.66 |   99.78 |     0.84 |   0.96
0288 -     32.86 |   16.43 |     0.95 |   0.99
0289 -     35.40 |   90.00 |     0.88 |   0.97
0290 -     99.76 |  100.00 |     0.93 |   1.00
0291 -      0.00 |    0.00 |     0.76 |   0.72
0292 -     54.32 |  100.00 |     0.93 |   1.00
0293 -     34.95 |  100.00 |     0.99 |   1.00
0294 -      0.00 |    0.00 |     0.91 |   0.98
0295 -     21.75 |  100.00 |     0.95 |   1.00
0296 -      0.00 |   10.22 |     0.98 |   1.00
0297 -     56.84 |  100.00 |     0.95 |   1.00
0298 -      9.00 |   99.87 |     0.93 |   0.99
0299 -     22.37 |   95.58 |     0.99 |   0.99
0300 -      4.24 |    4.34 |     0.89 |   0.94
0301 -     46.71 |   90.33 |     0.93 |   0.98
0302 -     65.37 |  100.00 |     0.95 |   1.00
0303 -     44.71 |   98.75 |     0.94 |   0.97
0304 -      0.00 |  100.00 |     0.72 |   1.00
0305 -     99.23 |  100.00 |     0.94 |   1.00
0306 -     62.46 |   93.55 |     0.95 |   0.97
0307 -     25.67 |  100.00 |     0.87 |   1.00
0308 -      0.00 |    0.00 |     0.91 |   1.00
0309 -     15.33 |   95.51 |     0.90 |   1.00
0310 -     53.45 |  100.00 |     0.95 |   1.00
0311 -     35.05 |  100.00 |     0.77 |   1.00
0312 -     67.00 |  100.00 |     0.81 |   0.99
0313 -      0.00 |    0.00 |     0.93 |   1.00
0314 -      0.00 |   82.78 |     0.87 |   0.92
0315 -     86.41 |  100.00 |     0.90 |   1.00
0316 -     15.90 |    0.00 |     0.96 |   1.00
0317 -      6.02 |    0.00 |     0.95 |   1.00
0318 -      0.00 |    0.00 |     0.97 |   0.99
0319 -      9.82 |   79.23 |     0.97 |   0.99
0320 -     67.11 |  100.00 |     0.99 |   1.00
0321 -      0.00 |    0.00 |     0.90 |   0.97
0322 -      0.00 |    0.00 |     0.83 |   0.87
0323 -     19.98 |  100.00 |     0.97 |   1.00
0324 -      0.00 |   95.79 |     0.94 |   0.95
0325 -     23.09 |  100.00 |     0.93 |   1.00
0326 -      0.00 |   54.34 |     0.97 |   1.00
0327 -     33.88 |  100.00 |     0.80 |   1.00
0328 -      0.00 |    0.00 |     0.96 |   0.99
0329 -     44.63 |  100.00 |     0.95 |   1.00
0330 -     19.74 |   96.84 |     0.91 |   1.00
0331 -     29.75 |  100.00 |     0.86 |   1.00
0332 -     40.80 |   86.88 |     0.80 |   0.98
0333 -      3.99 |    0.00 |     0.94 |   0.97
0334 -     45.21 |   74.79 |     0.96 |   0.99
0335 -      0.00 |   35.82 |     0.95 |   0.99
0336 -      7.96 |  100.00 |     0.95 |   1.00
0337 -     83.55 |  100.00 |     0.98 |   1.00
