==============================================
BLEU GOLD:                               59.96
BLEU IN:                                 80.79
ACC GOLD:                               0.0010
ACC IN:                                 0.2060
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0151 -      0.00 |   24.13 |     0.68 |   0.87
0152 -     66.29 |   54.83 |     0.92 |   0.97
0153 -      0.00 |    0.00 |     0.82 |   0.83
0154 -     14.12 |  100.00 |     0.80 |   1.00
0155 -      0.00 |    0.00 |     0.82 |   0.90
0156 -      0.00 |    9.30 |     0.85 |   0.89
0157 -     79.35 |  100.00 |     0.82 |   1.00
0158 -     59.84 |  100.00 |     0.88 |   1.00
0159 -     14.97 |   60.30 |     0.97 |   0.99
0160 -     66.12 |  100.00 |     0.88 |   1.00
0161 -      0.00 |    0.00 |     0.73 |   0.88
0162 -     35.51 |   32.83 |     0.98 |   0.97
0163 -     74.19 |  100.00 |     0.99 |   1.00
0164 -     24.10 |   77.55 |     0.72 |   0.96
0165 -      0.00 |    0.00 |     0.84 |   0.84
0166 -      0.00 |    0.00 |     0.84 |   0.97
0167 -      0.00 |    0.00 |     0.93 |   0.93
0168 -     26.67 |   77.64 |     0.77 |   0.92
0169 -      0.00 |    0.00 |     0.75 |   1.00
0170 -      0.00 |    0.00 |     0.94 |   1.00
0171 -     77.76 |   77.79 |     0.98 |   0.98
0172 -     44.23 |   97.56 |     0.95 |   0.99
0173 -      0.00 |    0.00 |     0.81 |   0.87
0174 -      0.00 |    0.00 |     0.64 |   0.81
0175 -     22.01 |   99.86 |     0.92 |   0.98
0176 -     16.31 |  100.00 |     0.85 |   1.00
0177 -      0.00 |   41.15 |     0.89 |   1.00
0178 -      0.00 |    0.00 |     0.90 |   0.91
0179 -     33.13 |  100.00 |     0.88 |   1.00
0180 -     16.01 |   12.98 |     0.85 |   1.00
0181 -      0.00 |    0.00 |     0.86 |   0.94
0182 -     11.21 |   99.64 |     0.84 |   0.95
0183 -      0.00 |    0.00 |     0.75 |   0.73
0184 -      0.00 |  100.00 |     0.98 |   1.00
0185 -     34.68 |  100.00 |     0.59 |   1.00
0186 -      0.00 |   46.87 |     0.76 |   0.99
0187 -      0.00 |    0.00 |     0.86 |   0.91
0188 -      0.00 |    0.00 |     0.94 |   0.99
0189 -      0.00 |    0.00 |     0.84 |   0.95
0190 -     19.48 |   99.86 |     0.95 |   0.99
0191 -      6.11 |  100.00 |     0.98 |   1.00
0192 -      0.00 |    0.00 |     0.78 |   0.95
0193 -     29.57 |  100.00 |     0.88 |   1.00
0194 -     37.32 |   31.65 |     0.89 |   0.94
0195 -     89.66 |   94.04 |     0.92 |   0.97
0196 -      0.00 |   27.82 |     0.91 |   0.99
0197 -     99.64 |  100.00 |     0.89 |   1.00
0198 -      0.00 |    0.00 |     0.66 |   0.84
0199 -     15.35 |   92.53 |     0.94 |   0.98
0200 -      0.00 |    0.00 |     0.91 |   1.00
0201 -     58.03 |   53.77 |     0.87 |   0.99
0202 -      0.00 |    0.00 |     0.92 |   0.97
0203 -      0.00 |  100.00 |     0.97 |   1.00
0204 -      0.00 |    0.00 |     0.72 |   0.85
0205 -     44.76 |   49.93 |     0.95 |   0.97
0206 -      7.77 |  100.00 |     0.98 |   1.00
0207 -     39.81 |   40.21 |     0.97 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -     79.84 |   52.47 |     0.95 |   0.92
0210 -     11.83 |    0.00 |     0.92 |   0.95
0211 -      0.00 |    0.00 |     0.85 |   0.98
0212 -     45.17 |  100.00 |     0.91 |   1.00
0213 -     50.37 |   56.83 |     0.86 |   0.95
0214 -      6.96 |    6.91 |     0.88 |   0.98
0215 -     81.72 |   82.36 |     0.96 |   1.00
0216 -      0.00 |   97.82 |     0.96 |   1.00
0217 -     12.79 |    9.32 |     0.91 |   0.95
0218 -      0.00 |   40.62 |     0.81 |   0.94
0219 -      0.00 |    0.00 |     0.87 |   0.95
0220 -     77.27 |   35.06 |     0.94 |   0.98
0221 -     47.98 |   98.50 |     0.94 |   0.96
0222 -      0.00 |    0.00 |     0.76 |   0.81
0223 -     79.84 |   99.84 |     0.94 |   0.99
0224 -      0.00 |    0.00 |     0.88 |   0.90
0225 -      0.00 |    0.00 |     0.82 |   0.92
0226 -     86.08 |  100.00 |     0.94 |   1.00
0227 -      7.96 |   53.53 |     0.96 |   1.00
0228 -      0.00 |    0.00 |     0.89 |   0.94
0229 -     50.79 |  100.00 |     0.51 |   1.00
0230 -      0.00 |    0.00 |     0.89 |   0.98
0231 -     57.78 |   74.43 |     0.91 |   1.00
0232 -      0.00 |   96.38 |     0.93 |   0.98
0233 -     18.78 |   15.00 |     0.93 |   1.00
0234 -     88.30 |  100.00 |     0.98 |   1.00
0235 -      0.00 |   56.70 |     0.95 |   1.00
0236 -     27.50 |   78.36 |     0.98 |   1.00
0237 -     15.04 |   62.31 |     0.82 |   0.89
0238 -      0.00 |    0.00 |     0.76 |   0.90
0239 -     99.60 |   99.69 |     0.92 |   1.00
0240 -     50.81 |   60.43 |     0.88 |   0.99
0241 -     13.39 |  100.00 |     0.98 |   1.00
0242 -      0.00 |    0.00 |     0.81 |   0.84
0243 -      0.00 |   20.66 |     0.97 |   1.00
0244 -     40.85 |   31.34 |     0.79 |   0.89
0245 -     58.18 |   65.55 |     0.83 |   0.96
0246 -      0.00 |   26.18 |     0.85 |   1.00
0247 -      6.88 |    6.27 |     0.90 |   0.94
0248 -     95.22 |  100.00 |     0.97 |   1.00
0249 -     16.29 |   97.32 |     0.98 |   1.00
0250 -      0.00 |    0.00 |     0.71 |   0.67
0251 -      0.00 |   99.53 |     0.95 |   0.99
0252 -     29.71 |   77.84 |     0.74 |   0.89
0253 -      3.06 |    0.00 |     0.81 |   0.98
0254 -      0.00 |    0.00 |     0.80 |   0.81
0255 -      0.00 |    0.00 |     0.71 |   0.80
0256 -     22.16 |    0.00 |     0.77 |   0.85
0257 -      0.00 |  100.00 |     0.86 |   1.00
0258 -     43.78 |  100.00 |     0.85 |   1.00
0259 -     63.65 |  100.00 |     0.88 |   1.00
0260 -     40.70 |  100.00 |     0.95 |   1.00
0261 -      0.00 |    0.00 |     0.97 |   0.99
0262 -      0.00 |    0.00 |     0.89 |   0.92
0263 -      0.00 |    0.00 |     0.81 |   0.94
0264 -     20.27 |   94.51 |     0.94 |   0.96
0265 -     34.90 |  100.00 |     0.74 |   1.00
0266 -     19.31 |   98.83 |     0.95 |   0.96
0267 -      0.00 |   40.71 |     0.87 |   0.99
0268 -     56.82 |   82.18 |     0.77 |   0.97
0269 -     51.76 |  100.00 |     0.92 |   1.00
0270 -     99.52 |   99.87 |     0.96 |   1.00
0271 -     19.02 |   22.32 |     0.96 |   1.00
0272 -     33.73 |  100.00 |     0.86 |   1.00
0273 -      0.00 |    0.00 |     0.98 |   1.00
0274 -     89.72 |   99.32 |     0.96 |   0.98
0275 -     94.98 |   92.88 |     0.83 |   0.98
0276 -      0.00 |    9.03 |     0.94 |   0.99
0277 -     61.93 |  100.00 |     0.91 |   1.00
0278 -     71.11 |  100.00 |     0.86 |   1.00
0279 -      9.74 |    9.17 |     0.80 |   0.95
0280 -     89.39 |   99.77 |     0.86 |   1.00
0281 -     92.79 |   96.44 |     0.89 |   0.98
0282 -      0.00 |    0.00 |     0.95 |   0.95
0283 -     33.30 |  100.00 |     0.88 |   1.00
0284 -     16.69 |   87.10 |     0.86 |   0.97
0285 -     61.07 |  100.00 |     0.95 |   1.00
0286 -      0.00 |    0.00 |     0.94 |   1.00
0287 -     99.66 |  100.00 |     0.88 |   1.00
0288 -     60.33 |   59.37 |     0.95 |   1.00
0289 -     35.15 |   65.88 |     0.87 |   0.96
0290 -     99.76 |   98.89 |     0.93 |   1.00
0291 -      0.00 |    0.00 |     0.87 |   0.99
0292 -     54.32 |  100.00 |     0.93 |   1.00
0293 -     34.95 |  100.00 |     0.99 |   1.00
0294 -     32.40 |  100.00 |     0.91 |   1.00
0295 -      0.00 |   43.65 |     0.77 |   0.83
0296 -      0.00 |   10.22 |     0.98 |   1.00
0297 -     56.84 |  100.00 |     0.95 |   1.00
0298 -      8.47 |   75.38 |     0.93 |   1.00
0299 -     22.37 |   95.45 |     0.98 |   0.99
0300 -      0.00 |    0.00 |     0.89 |   0.97
0301 -     46.25 |  100.00 |     0.94 |   1.00
0302 -     65.37 |  100.00 |     0.95 |   1.00
0303 -     44.71 |   98.75 |     0.94 |   0.98
0304 -      0.00 |  100.00 |     0.72 |   1.00
0305 -     99.23 |  100.00 |     0.94 |   1.00
0306 -      0.00 |    0.00 |     0.83 |   0.87
0307 -      0.00 |    0.00 |     0.87 |   1.00
0308 -     36.12 |   54.65 |     0.73 |   0.87
0309 -     15.33 |   95.51 |     0.90 |   1.00
0310 -     53.45 |  100.00 |     0.95 |   1.00
0311 -     34.25 |   91.09 |     0.78 |   0.99
0312 -     67.00 |  100.00 |     0.81 |   0.99
0313 -      0.00 |    0.00 |     0.92 |   0.98
0314 -      0.00 |  100.00 |     0.96 |   1.00
0315 -     86.41 |  100.00 |     0.90 |   1.00
0316 -      0.00 |    0.00 |     0.95 |   0.97
0317 -     14.55 |   36.36 |     0.94 |   0.99
0318 -     72.49 |   95.95 |     0.97 |   1.00
0319 -      9.82 |   79.23 |     0.97 |   0.99
0320 -     67.11 |  100.00 |     0.99 |   1.00
0321 -     41.51 |   55.32 |     0.88 |   0.94
0322 -      0.00 |    0.00 |     0.65 |   0.82
0323 -     25.16 |   17.63 |     0.93 |   0.95
0324 -      0.00 |   95.79 |     0.95 |   0.96
0325 -     13.75 |   15.98 |     0.90 |   0.97
0326 -      0.00 |   54.34 |     0.97 |   1.00
0327 -     33.88 |  100.00 |     0.80 |   1.00
0328 -      0.00 |    0.00 |     0.94 |   0.95
0329 -      5.40 |   56.29 |     0.93 |   0.94
0330 -     19.74 |   96.84 |     0.91 |   1.00
0331 -     29.75 |  100.00 |     0.86 |   1.00
0332 -     40.80 |   99.79 |     0.81 |   0.97
0333 -      0.00 |    0.00 |     0.96 |   0.99
0334 -      0.00 |    0.00 |     0.94 |   0.97
0335 -      0.00 |   35.82 |     0.95 |   0.99
0336 -      7.31 |   35.97 |     0.94 |   0.99
0337 -     74.41 |   85.52 |     0.93 |   0.95
0338 -     14.59 |   97.71 |     0.90 |   0.99
0339 -      7.02 |    7.07 |     0.93 |   0.97
0340 -     81.04 |   97.87 |     0.90 |   1.00
0341 -     54.68 |   56.22 |     0.77 |   0.99
0342 -     47.00 |  100.00 |     0.96 |   1.00
0343 -     17.18 |   36.08 |     0.81 |   0.91
0344 -     41.26 |    6.24 |     0.93 |   0.97
0345 -      0.00 |    0.00 |     0.86 |   0.90
0346 -     10.44 |    0.00 |     0.87 |   0.93
0347 -     75.26 |   96.95 |     0.97 |   1.00
0348 -     66.84 |  100.00 |     0.97 |   1.00
0349 -     32.46 |   81.13 |     0.77 |   0.97
0350 -      0.00 |    0.00 |     0.82 |   0.99
0351 -     19.31 |  100.00 |     0.94 |   0.99
0352 -     99.81 |   99.46 |     0.94 |   0.99
0353 -     36.55 |  100.00 |     0.97 |   1.00
0354 -     40.46 |   61.61 |     0.95 |   0.98
0355 -     66.12 |   99.54 |     0.90 |   1.00
0356 -     99.68 |   99.16 |     0.90 |   0.97
0357 -      0.00 |    0.00 |     0.83 |   0.85
0358 -      0.00 |    0.00 |     0.81 |   0.93
0359 -     38.30 |   31.51 |     0.89 |   0.95
0360 -      0.00 |    0.00 |     0.97 |   1.00
0361 -     72.93 |  100.00 |     0.98 |   1.00
0362 -     25.31 |   72.66 |     0.92 |   0.94
0363 -     54.08 |   52.54 |     0.93 |   0.96
0364 -     51.73 |  100.00 |     0.96 |   1.00
0365 -     10.69 |   11.92 |     0.89 |   1.00
0366 -     50.24 |   45.77 |     0.96 |   0.99
0367 -      0.00 |    0.00 |     0.87 |   0.88
0368 -     41.12 |  100.00 |     0.76 |   1.00
0369 -     54.70 |  100.00 |     0.93 |   1.00
0370 -      0.00 |    0.00 |     0.96 |   0.98
0371 -      0.00 |   17.68 |     0.85 |   0.87
0372 -     73.76 |  100.00 |     0.95 |   1.00
0373 -     53.62 |    0.00 |     0.86 |   0.97
0374 -     31.28 |   71.99 |     0.97 |   0.98
0375 -     44.27 |  100.00 |     0.95 |   1.00
0376 -      0.00 |    0.00 |     0.89 |   0.95
0377 -      0.00 |    0.00 |     0.79 |   0.97
0378 -     20.37 |   20.48 |     0.91 |   0.98
0379 -     28.74 |   93.09 |     0.92 |   0.99
0380 -     88.41 |    3.91 |     0.98 |   0.97
0381 -     56.10 |   90.74 |     0.91 |   0.96
0382 -      0.00 |    0.00 |     0.71 |   0.82
0383 -     75.49 |  100.00 |     0.81 |   1.00
0384 -     24.44 |   63.43 |     0.98 |   1.00
0385 -      0.00 |    0.00 |     0.91 |   0.95
0386 -      0.00 |   99.75 |     0.88 |   0.94
0387 -     29.00 |   34.42 |     0.89 |   0.88
0388 -      0.00 |    0.00 |     0.94 |   1.00
0389 -      0.00 |    0.00 |     0.87 |   0.92
0390 -     90.59 |    0.00 |     0.90 |   0.97
0391 -     21.29 |   33.70 |     0.65 |   0.84
0392 -     99.72 |   99.37 |     0.88 |   0.96
0393 -      0.00 |  100.00 |     0.79 |   1.00
0394 -      0.00 |    0.00 |     0.90 |   0.99
0395 -     55.92 |   99.34 |     0.96 |   0.97
0396 -     45.57 |   99.74 |     0.94 |   0.96
0397 -     77.18 |   89.55 |     0.87 |   0.89
0398 -      0.00 |    0.00 |     0.87 |   0.96
0399 -     49.84 |   79.46 |     0.85 |   0.96
0400 -      0.00 |    0.00 |     0.83 |   0.94
0401 -      0.00 |    0.00 |     0.94 |   0.95
0402 -     36.97 |   36.19 |     0.93 |   0.97
0403 -     76.36 |   98.63 |     0.89 |   0.98
0404 -      0.00 |    9.52 |     0.64 |   0.65
0405 -     76.92 |   95.57 |     0.95 |   1.00
0406 -     51.48 |   99.09 |     0.92 |   0.99
0407 -     64.42 |  100.00 |     0.86 |   1.00
0408 -      7.80 |   99.58 |     0.98 |   1.00
0409 -     12.20 |    0.00 |     0.82 |   0.90
0410 -     89.75 |  100.00 |     0.96 |   1.00
0411 -      0.00 |   10.95 |     0.83 |   0.87
0412 -     51.79 |  100.00 |     0.97 |   1.00
0413 -      0.00 |    0.00 |     0.82 |   0.98
0414 -     14.82 |   71.71 |     0.80 |   0.99
0415 -      0.00 |    0.00 |     0.91 |   1.00
0416 -      0.00 |    0.00 |     0.88 |   0.94
0417 -      0.00 |    0.00 |     0.91 |   0.90
0418 -      0.00 |    0.00 |     0.97 |   0.97
0419 -     11.60 |  100.00 |     0.76 |   1.00
0420 -     21.29 |   49.01 |     0.95 |   0.98
0421 -     13.44 |   12.98 |     0.72 |   0.93
0422 -     49.28 |   90.93 |     0.73 |   0.97
0423 -     41.86 |   31.94 |     0.83 |   0.75
0424 -     28.73 |  100.00 |     0.95 |   1.00
0425 -     27.11 |   58.58 |     0.84 |   0.99
0426 -      0.00 |    0.00 |     0.79 |   0.89
0427 -     21.80 |   51.89 |     0.93 |   0.96
0428 -      6.72 |  100.00 |     0.94 |   1.00
0429 -      0.00 |    0.00 |     0.49 |   0.79
0430 -     72.61 |   51.83 |     0.92 |   0.97
0431 -      0.00 |   89.82 |     0.91 |   0.96
0432 -     65.75 |  100.00 |     0.97 |   1.00
0433 -     43.35 |   51.42 |     0.72 |   0.98
0434 -     15.27 |    0.00 |     0.68 |   0.75
0435 -     86.76 |   91.33 |     0.89 |   1.00
0436 -     54.24 |   53.89 |     0.96 |   0.98
0437 -      0.00 |   86.63 |     0.88 |   1.00
0438 -     56.19 |   55.82 |     0.95 |   0.94
0439 -      0.00 |  100.00 |     0.91 |   1.00
0440 -     19.76 |   16.31 |     0.94 |   0.98
0441 -     32.36 |   82.38 |     0.70 |   0.92
0442 -      0.00 |   99.86 |     0.93 |   0.95
0443 -      0.00 |    0.00 |     0.84 |   0.94
0444 -      0.00 |    0.00 |     0.87 |   0.84
0445 -     77.71 |   99.86 |     0.99 |   1.00
0446 -     45.99 |  100.00 |     0.98 |   1.00
0447 -      0.00 |    0.00 |     0.77 |   0.93
0448 -      0.00 |   22.27 |     0.71 |   0.93
