==============================================
BLEU GOLD:                               42.12
BLEU IN:                                 55.70
ACC GOLD:                               0.0000
ACC IN:                                 0.0390
SIM GOLD:                               0.7748
SIM IN:                                 0.8423
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0277 -     61.93 |   70.34 |     0.92 |   0.99
0278 -     28.06 |   35.30 |     0.70 |   0.78
0279 -     35.73 |   30.55 |     0.78 |   0.79
0280 -     89.39 |   92.75 |     0.87 |   0.96
0281 -      0.00 |    0.00 |     0.61 |   0.57
0282 -      6.10 |    6.25 |     0.84 |   0.84
0283 -     90.49 |   33.69 |     0.96 |   0.84
0284 -     20.02 |   91.86 |     0.87 |   0.98
0285 -     31.92 |   30.01 |     0.92 |   0.92
0286 -      0.00 |    0.00 |     0.76 |   0.76
0287 -     21.78 |   13.81 |     0.83 |   0.72
0288 -     11.29 |   11.23 |     0.88 |   0.90
0289 -     35.16 |   45.26 |     0.87 |   0.95
0290 -     96.80 |   91.37 |     0.92 |   0.99
0291 -      0.00 |    0.00 |     0.75 |   0.86
0292 -      0.00 |    0.00 |     0.39 |   0.47
0293 -     99.73 |   36.17 |     0.96 |   0.95
0294 -      0.00 |    0.00 |     0.79 |   0.88
0295 -      0.00 |    5.04 |     0.78 |   0.76
0296 -      0.00 |    0.00 |     0.93 |   0.95
0297 -     46.54 |   44.31 |     0.86 |   0.91
0298 -      9.46 |    6.16 |     0.85 |   0.87
0299 -      6.34 |   12.31 |     0.76 |   0.78
0300 -      0.00 |    0.00 |     0.75 |   0.73
0301 -     47.41 |   61.23 |     0.79 |   0.83
0302 -     65.37 |  100.00 |     0.95 |   1.00
0303 -     44.26 |   96.57 |     0.92 |   0.97
0304 -      0.00 |   62.22 |     0.71 |   0.90
0305 -     83.92 |   87.67 |     0.85 |   0.92
0306 -      0.00 |    0.00 |     0.83 |   0.82
0307 -     26.21 |   95.82 |     0.87 |   1.00
0308 -      0.00 |    0.00 |     0.78 |   0.83
0309 -     12.14 |   55.84 |     0.88 |   0.96
0310 -     16.68 |   16.24 |     0.76 |   0.77
0311 -      6.55 |    6.47 |     0.67 |   0.69
0312 -     64.60 |   61.44 |     0.79 |   0.95
0313 -      0.00 |   37.39 |     0.61 |   0.64
0314 -     40.54 |    0.00 |     0.96 |   1.00
0315 -      0.00 |    0.00 |     0.73 |   0.80
0316 -      0.00 |   15.51 |     0.76 |   0.75
0317 -      0.00 |    0.00 |     0.87 |   0.89
0318 -     17.48 |   15.86 |     0.77 |   0.81
0319 -      8.17 |   69.01 |     0.95 |   0.97
0320 -     51.32 |   45.22 |     0.98 |   0.99
0321 -     46.52 |   46.82 |     0.94 |   1.00
0322 -     20.36 |    0.00 |     0.64 |   0.73
0323 -     13.01 |   64.84 |     0.83 |   0.86
0324 -      0.00 |    0.00 |     0.90 |   0.90
0325 -     82.68 |   14.83 |     0.94 |   0.99
0326 -      0.00 |    0.00 |     0.94 |   0.94
0327 -     33.88 |  100.00 |     0.80 |   1.00
0328 -     26.31 |   69.40 |     0.85 |   0.89
0329 -      5.07 |    5.84 |     0.63 |   0.64
0330 -     19.01 |   86.26 |     0.92 |   1.00
0331 -     29.75 |  100.00 |     0.86 |   1.00
0332 -     45.88 |   32.59 |     0.74 |   0.79
0333 -      0.00 |    0.00 |     0.92 |   0.96
0334 -      5.34 |    5.13 |     0.87 |   0.89
0335 -      0.00 |   71.65 |     0.92 |   0.94
0336 -      8.44 |    5.72 |     0.43 |   0.50
0337 -     19.92 |   19.74 |     0.85 |   0.85
0338 -     11.07 |   39.38 |     0.82 |   0.89
0339 -      8.90 |    8.96 |     0.86 |   0.90
0340 -     78.02 |   91.04 |     0.84 |   0.94
0341 -     13.28 |   13.12 |     0.65 |   0.78
0342 -     36.37 |   24.11 |     0.96 |   1.00
0343 -     22.93 |   38.67 |     0.86 |   0.95
0344 -      0.00 |    8.02 |     0.87 |   0.93
0345 -      0.00 |    5.62 |     0.71 |   0.74
0346 -     15.40 |  100.00 |     0.87 |   0.95
0347 -      0.00 |    0.00 |     0.50 |   0.51
0348 -     13.68 |   13.97 |     0.72 |   0.76
0349 -      0.00 |    0.00 |     0.78 |   0.98
0350 -      0.00 |    0.00 |     0.63 |   0.78
0351 -      0.00 |    0.00 |     0.91 |   0.96
0352 -      0.00 |    0.00 |     0.82 |   0.78
0353 -     32.80 |   51.75 |     0.90 |   0.93
0354 -     33.84 |   83.86 |     0.93 |   0.95
0355 -      0.00 |    6.62 |     0.76 |   0.76
0356 -      0.00 |    0.00 |     0.85 |   0.85
0357 -     77.48 |   77.46 |     0.92 |   0.94
0358 -      0.00 |    0.00 |     0.68 |   0.78
0359 -     33.91 |   31.32 |     0.76 |   0.82
0360 -      0.00 |   17.17 |     0.77 |   0.80
0361 -     25.48 |   23.05 |     0.75 |   0.78
0362 -      0.00 |    4.53 |     0.75 |   0.76
0363 -     49.33 |   44.03 |     0.78 |   0.82
0364 -     44.22 |   87.83 |     0.92 |   0.96
0365 -      0.00 |    0.00 |     0.54 |   0.60
0366 -     23.62 |   21.58 |     0.92 |   0.93
0367 -     10.33 |   10.42 |     0.86 |   0.87
0368 -     35.83 |   30.27 |     0.70 |   0.89
0369 -      0.00 |    0.00 |     0.75 |   0.83
0370 -      0.00 |    0.00 |     0.69 |   0.66
0371 -      0.00 |    0.00 |     0.54 |   0.64
0372 -      0.00 |    0.00 |     0.82 |   0.86
0373 -     16.54 |   96.33 |     0.85 |   0.97
0374 -     27.06 |   62.30 |     0.92 |   0.93
0375 -      0.00 |    0.00 |     0.81 |   0.87
0376 -      0.00 |    0.00 |     0.68 |   0.76
0377 -      0.00 |    0.00 |     0.47 |   0.75
0378 -      6.19 |    6.08 |     0.94 |   0.92
0379 -      0.00 |    0.00 |     0.91 |   0.98
0380 -      0.00 |    0.00 |     0.96 |   0.94
0381 -      0.00 |    0.00 |     0.81 |   0.87
0382 -      0.00 |    0.00 |     0.82 |   0.73
0383 -      0.00 |    0.00 |     0.81 |   1.00
0384 -      0.00 |    0.00 |     0.78 |   0.81
0385 -      9.46 |    0.00 |     0.90 |   0.93
0386 -      0.00 |   14.16 |     0.78 |   0.74
0387 -      0.00 |    0.00 |     0.87 |   0.86
0388 -      0.00 |    0.00 |     0.82 |   0.85
0389 -      0.00 |    0.00 |     0.44 |   0.49
0390 -     11.40 |    0.00 |     0.87 |   0.81
0391 -     21.37 |   60.80 |     0.41 |   0.59
0392 -     99.72 |   99.37 |     0.88 |   0.97
0393 -      0.00 |   53.13 |     0.79 |   0.95
0394 -     30.10 |   24.22 |     0.83 |   0.90
0395 -     55.34 |   94.13 |     0.96 |   0.98
0396 -     32.55 |   26.88 |     0.84 |   0.84
0397 -     57.47 |   49.96 |     0.94 |   0.95
0398 -      0.00 |    0.00 |     0.82 |   0.91
0399 -      0.00 |    0.00 |     0.84 |   0.98
0400 -      0.00 |    0.00 |     0.84 |   0.86
0401 -     31.85 |    0.00 |     0.71 |   0.72
0402 -      0.00 |    0.00 |     0.77 |   0.80
0403 -      0.00 |    0.00 |     0.79 |   0.80
0404 -      0.00 |    0.00 |     0.54 |   0.51
0405 -     37.42 |   25.83 |     0.81 |   0.86
0406 -      8.12 |    0.00 |     0.74 |   0.75
0407 -      0.00 |    0.00 |     0.61 |   0.75
0408 -      8.09 |   80.19 |     0.98 |   0.99
0409 -      0.00 |   13.29 |     0.67 |   0.78
0410 -      0.00 |    0.00 |     0.86 |   0.82
0411 -      0.00 |   11.92 |     0.75 |   0.82
0412 -     55.11 |   54.84 |     0.96 |   0.98
0413 -     37.14 |   24.01 |     0.78 |   0.88
0414 -      0.00 |    0.00 |     0.63 |   0.86
0415 -      0.00 |    0.00 |     0.74 |   0.89
0416 -      0.00 |    0.00 |     0.81 |   0.86
0417 -      0.00 |    0.00 |     0.80 |   0.79
0418 -      0.00 |    5.99 |     0.83 |   0.85
0419 -      0.00 |    0.00 |     0.54 |   0.77
0420 -     27.90 |   76.88 |     0.94 |   0.97
0421 -      0.00 |    0.00 |     0.57 |   0.68
0422 -     47.02 |   52.16 |     0.76 |   0.77
0423 -     50.08 |   53.77 |     0.81 |   0.89
0424 -     27.96 |   94.99 |     0.93 |   0.99
0425 -     26.44 |   55.02 |     0.51 |   0.65
0426 -      0.00 |    0.00 |     0.79 |   0.93
0427 -     25.33 |   72.55 |     0.91 |   0.94
0428 -      5.31 |   18.26 |     0.83 |   0.85
0429 -      0.00 |    0.00 |     0.76 |   0.93
0430 -     11.13 |   10.28 |     0.87 |   0.86
0431 -      0.00 |   20.04 |     0.75 |   0.76
0432 -     65.75 |  100.00 |     0.97 |   1.00
0433 -      8.13 |    0.00 |     0.63 |   0.90
0434 -     13.97 |   12.78 |     0.85 |   0.91
0435 -      8.44 |    8.06 |     0.73 |   0.77
0436 -     11.20 |   11.20 |     0.70 |   0.71
0437 -      0.00 |   36.56 |     0.76 |   0.88
0438 -      0.00 |    0.00 |     0.82 |   0.86
0439 -      0.00 |    0.00 |     0.66 |   0.62
0440 -      9.06 |    7.11 |     0.71 |   0.71
0441 -     26.93 |   24.49 |     0.71 |   0.96
0442 -      0.00 |    0.00 |     0.86 |   0.88
0443 -      7.38 |    7.50 |     0.76 |   0.88
0444 -     71.43 |   78.96 |     0.81 |   0.83
0445 -      8.45 |    7.65 |     0.89 |   0.88
0446 -      0.00 |    0.00 |     0.92 |   0.95
0447 -      0.00 |    0.00 |     0.48 |   0.70
0448 -      0.00 |    0.00 |     0.45 |   0.79
0449 -     19.10 |    0.00 |     0.67 |   0.76
0450 -     15.10 |   94.85 |     0.92 |   0.94
0451 -      0.00 |   57.47 |     0.78 |   0.94
0452 -      0.00 |   78.48 |     0.70 |   0.95
0453 -     39.53 |  100.00 |     0.60 |   1.00
0454 -      0.00 |    0.00 |     0.29 |   0.24
0455 -      0.00 |    7.03 |     0.68 |   0.83
0456 -     82.71 |   85.49 |     0.90 |   0.94
0457 -      0.00 |    0.00 |     0.90 |   0.93
0458 -     50.15 |  100.00 |     0.69 |   1.00
0459 -      0.00 |   89.73 |     0.96 |   0.96
0460 -      0.00 |    0.00 |     0.64 |   0.67
0461 -      0.00 |    0.00 |     0.52 |   0.57
0462 -     33.77 |   43.05 |     0.78 |   0.82
0463 -     37.06 |   25.85 |     0.87 |   0.96
0464 -     62.83 |   81.81 |     0.81 |   0.90
0465 -      0.00 |    3.88 |     0.89 |   0.90
0466 -      0.00 |    0.00 |     0.12 |   0.15
0467 -     20.32 |   32.45 |     0.87 |   0.89
0468 -      0.00 |    0.00 |     0.65 |   0.67
0469 -      6.86 |   24.31 |     0.72 |   0.79
0470 -      0.00 |    0.00 |     0.86 |   0.91
0471 -      0.00 |    0.00 |     0.67 |   0.63
0472 -     39.75 |   47.71 |     0.55 |   0.77
0473 -     12.17 |   10.23 |     0.87 |   0.93
0474 -      0.00 |    3.08 |     0.53 |   0.67
0475 -     42.95 |   32.30 |     0.95 |   0.99
0476 -      5.44 |    6.99 |     0.80 |   0.83
0477 -     34.94 |   36.73 |     0.96 |   0.98
0478 -     64.90 |   72.44 |     0.79 |   0.93
0479 -      4.91 |    4.04 |     0.79 |   0.84
0480 -      0.00 |   17.60 |     0.38 |   0.56
0481 -      9.84 |    9.58 |     0.85 |   0.89
0482 -     22.09 |   55.42 |     0.86 |   0.92
0483 -      4.90 |    3.88 |     0.72 |   0.78
0484 -     17.07 |   49.05 |     0.88 |   1.00
0485 -      0.00 |    0.00 |     0.73 |   0.79
0486 -     23.59 |   33.13 |     0.92 |   0.95
0487 -      0.00 |    0.00 |     0.90 |   0.87
0488 -      0.00 |   14.59 |     0.91 |   0.95
0489 -      0.00 |   21.95 |     0.79 |   0.86
0490 -     84.25 |   94.72 |     0.96 |   0.99
0491 -      0.00 |    0.00 |     0.81 |   0.82
0492 -      0.00 |    0.00 |     0.74 |   0.90
0493 -     99.81 |   99.86 |     0.90 |   0.98
0494 -      0.00 |    0.00 |     0.55 |   0.78
0495 -     21.57 |   53.76 |     0.79 |   0.82
0496 -     25.48 |   29.97 |     0.77 |   0.80
0497 -      0.00 |    0.00 |     0.84 |   0.96
0498 -     24.45 |   21.35 |     0.93 |   0.95
0499 -      0.00 |    0.00 |     0.90 |   0.94
0500 -      0.00 |   66.88 |     0.82 |   0.95
0501 -     64.30 |  100.00 |     0.91 |   1.00
0502 -     12.07 |   12.47 |     0.80 |   0.85
0503 -      0.00 |   17.01 |     0.60 |   0.66
0504 -      8.97 |   20.93 |     0.70 |   0.90
