==============================================
BLEU GOLD:                               45.57
BLEU IN:                                 69.07
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0197 -     25.28 |   24.53 |     0.93 |   1.00
0198 -     94.44 |  100.00 |     0.97 |   1.00
0199 -     92.39 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    0.00 |     0.74 |   0.77
0201 -     17.40 |   99.17 |     0.95 |   0.97
0202 -     61.91 |  100.00 |     0.97 |   1.00
0203 -      0.00 |    0.00 |     0.87 |   0.86
0204 -     87.05 |   32.75 |     0.96 |   0.97
0205 -      0.00 |    0.00 |     0.94 |   0.99
0206 -     94.81 |   98.86 |     0.99 |   1.00
0207 -     91.41 |  100.00 |     0.98 |   1.00
0208 -    100.00 |   92.12 |     1.00 |   0.96
0209 -     87.17 |   98.40 |     0.96 |   0.94
0210 -     68.15 |   28.52 |     0.98 |   0.99
0211 -     26.07 |  100.00 |     0.97 |   1.00
0212 -     67.43 |   60.17 |     0.98 |   0.99
0213 -     96.55 |  100.00 |     0.98 |   1.00
0214 -      6.25 |   97.71 |     0.96 |   1.00
0215 -      0.00 |    0.00 |     0.90 |   0.97
0216 -     29.20 |   35.11 |     0.94 |   0.96
0217 -      0.00 |    0.00 |     0.56 |   0.77
0218 -     34.45 |   33.71 |     0.95 |   0.97
0219 -     37.49 |  100.00 |     0.97 |   1.00
0220 -     50.67 |   53.60 |     0.90 |   0.99
0221 -     82.03 |  100.00 |     0.89 |   1.00
0222 -      6.97 |   88.13 |     0.97 |   0.97
0223 -      0.00 |    0.00 |     0.90 |   0.96
0224 -     86.10 |   90.62 |     0.98 |   0.98
0225 -     42.61 |  100.00 |     0.98 |   1.00
0226 -     91.53 |  100.00 |     0.96 |   1.00
0227 -      5.58 |    0.00 |     0.94 |   0.99
0228 -     92.90 |  100.00 |     0.97 |   1.00
0229 -      0.00 |    0.00 |     0.87 |   0.91
0230 -     88.76 |  100.00 |     0.97 |   1.00
0231 -     89.79 |  100.00 |     0.99 |   1.00
0232 -     11.04 |  100.00 |     0.97 |   1.00
0233 -     64.07 |  100.00 |     0.95 |   1.00
0234 -     11.80 |   11.68 |     0.97 |   0.98
0235 -     29.54 |   26.83 |     0.92 |   1.00
0236 -      0.00 |   75.98 |     0.79 |   0.83
0237 -      0.00 |    0.00 |     0.96 |   0.99
0238 -    100.00 |   66.34 |     1.00 |   0.98
0239 -     58.87 |  100.00 |     0.97 |   1.00
0240 -     11.79 |   98.53 |     0.96 |   0.97
0241 -     43.29 |  100.00 |     0.98 |   1.00
0242 -      5.46 |  100.00 |     0.99 |   1.00
0243 -     78.68 |  100.00 |     0.89 |   1.00
0244 -     11.68 |   11.38 |     0.97 |   0.99
0245 -      3.94 |  100.00 |     0.98 |   1.00
0246 -     76.96 |  100.00 |     0.86 |   1.00
0247 -     96.91 |  100.00 |     0.99 |   1.00
0248 -     21.09 |   23.22 |     0.79 |   0.83
0249 -      0.00 |    0.00 |     0.82 |   0.90
0250 -      0.00 |   15.68 |     0.96 |   0.97
0251 -      0.00 |    0.00 |     0.94 |   1.00
0252 -      0.00 |    0.00 |     0.96 |   0.98
