==============================================
BLEU GOLD:                               19.69
BLEU IN:                                 29.01
SIM GOLD:                               0.7737
SIM IN:                                 0.8394
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0338 -     15.22 |   33.79 |     0.85 |   0.89
0339 -      0.00 |    0.00 |     0.81 |   0.86
0340 -     42.39 |   64.71 |     0.84 |   0.94
0341 -      0.00 |    0.00 |     0.58 |   0.79
0342 -     59.42 |   25.23 |     0.96 |   1.00
0343 -     20.79 |   67.12 |     0.89 |   0.95
0344 -     36.81 |   52.28 |     0.77 |   0.85
0345 -      0.00 |    0.00 |     0.83 |   0.83
0346 -      5.84 |    6.36 |     0.91 |   0.95
0347 -     23.42 |   26.33 |     0.61 |   0.63
0348 -     47.21 |   50.25 |     0.87 |   0.89
0349 -     24.86 |   26.14 |     0.73 |   0.92
0350 -      0.00 |    0.00 |     0.78 |   0.94
0351 -     23.97 |   15.75 |     0.82 |   0.88
0352 -     27.95 |   24.93 |     0.66 |   0.64
0353 -     39.78 |   95.38 |     0.94 |   0.98
0354 -      8.71 |    9.05 |     0.83 |   0.85
0355 -     10.81 |    0.00 |     0.74 |   0.86
0356 -      0.00 |    0.00 |     0.64 |   0.64
0357 -     29.40 |   34.42 |     0.83 |   0.85
0358 -     20.54 |   29.77 |     0.85 |   0.81
0359 -     16.71 |   20.82 |     0.63 |   0.61
0360 -      8.96 |    0.00 |     0.85 |   0.86
0361 -     19.38 |   19.88 |     0.89 |   0.90
0362 -      0.00 |   11.10 |     0.79 |   0.79
0363 -      0.00 |    0.00 |     0.70 |   0.73
0364 -     55.25 |   62.82 |     0.95 |   0.99
0365 -      0.00 |    0.00 |     0.51 |   0.53
0366 -     65.94 |   48.17 |     0.96 |   0.99
0367 -      0.00 |   15.24 |     0.34 |   0.34
0368 -     47.48 |  100.00 |     0.76 |   1.00
0369 -     15.79 |   13.82 |     0.78 |   0.74
0370 -      0.00 |   60.98 |     0.98 |   0.99
0371 -      0.00 |    0.00 |     0.83 |   0.87
0372 -      0.00 |    0.00 |     0.80 |   0.85
0373 -      0.00 |    0.00 |     0.51 |   0.49
0374 -     71.98 |   53.14 |     0.98 |   0.97
0375 -     45.82 |   58.33 |     0.89 |   0.96
0376 -      0.00 |    0.00 |     0.64 |   0.73
0377 -     45.65 |  100.00 |     0.81 |   1.00
0378 -      0.00 |    0.00 |     0.79 |   0.84
0379 -      0.00 |    0.00 |     0.98 |   0.91
0380 -      0.00 |   75.64 |     0.92 |   0.91
0381 -     56.78 |   70.40 |     0.86 |   0.91
0382 -     98.52 |   98.17 |     0.79 |   0.90
0383 -     31.16 |   26.94 |     0.80 |   0.93
0384 -      0.00 |    0.00 |     0.92 |   0.94
0385 -     10.64 |    0.00 |     0.82 |   0.85
0386 -     76.89 |    0.00 |     0.71 |   0.69
0387 -     21.12 |   17.59 |     0.81 |   0.78
0388 -     21.44 |   33.36 |     0.81 |   0.87
0389 -     42.33 |   53.27 |     0.77 |   0.81
0390 -      0.00 |   54.37 |     0.92 |   1.00
0391 -     15.24 |   35.93 |     0.43 |   0.56
0392 -      0.00 |    0.00 |     0.81 |   0.79
0393 -      9.86 |   36.59 |     0.28 |   0.56
0394 -      8.52 |    0.00 |     0.67 |   0.77
0395 -     57.62 |   98.37 |     0.98 |   1.00
0396 -     68.48 |   22.49 |     0.85 |   0.85
0397 -      6.49 |    5.35 |     0.91 |   0.91
0398 -      0.00 |    0.00 |     0.64 |   0.71
0399 -     24.39 |   25.04 |     0.84 |   0.97
0400 -      0.00 |    0.00 |     0.64 |   0.76
0401 -     30.75 |   89.06 |     0.98 |   1.00
0402 -     33.83 |   46.99 |     0.86 |   0.88
0403 -     38.52 |   31.64 |     0.90 |   0.98
0404 -      0.00 |    8.70 |     0.86 |   0.92
0405 -     61.68 |   58.36 |     0.80 |   0.81
0406 -      0.00 |    0.00 |     0.76 |   0.74
0407 -     71.55 |   83.10 |     0.73 |   0.91
0408 -      8.32 |   29.14 |     0.88 |   0.89
0409 -      0.00 |   15.16 |     0.78 |   0.88
0410 -     15.24 |    0.00 |     0.78 |   0.82
0411 -      0.00 |   15.41 |     0.83 |   0.97
0412 -      0.00 |   12.02 |     0.94 |   0.93
0413 -     48.19 |   75.67 |     0.85 |   1.00
0414 -      0.00 |    9.52 |     0.66 |   0.91
0415 -      0.00 |    0.00 |     0.62 |   0.71
0416 -      5.77 |   24.09 |     0.88 |   0.93
0417 -      0.00 |    7.75 |     0.60 |   0.74
0418 -     36.99 |   32.81 |     0.84 |   0.82
0419 -     13.50 |   97.97 |     0.76 |   1.00
0420 -      0.00 |    0.00 |     0.70 |   0.74
0421 -      6.20 |    6.32 |     0.68 |   0.72
0422 -     46.54 |   51.51 |     0.76 |   0.76
0423 -     27.87 |   77.54 |     0.80 |   0.91
0424 -      0.00 |    0.00 |     0.73 |   0.80
0425 -      0.00 |    0.00 |     0.78 |   0.73
0426 -      0.00 |   97.46 |     0.82 |   0.91
0427 -     22.33 |   53.16 |     0.93 |   0.96
0428 -      5.33 |   34.14 |     0.83 |   0.87
0429 -      0.00 |    0.00 |     0.63 |   0.82
0430 -      0.00 |    0.00 |     0.89 |   0.87
0431 -      0.00 |    0.00 |     0.53 |   0.54
0432 -     95.51 |   71.23 |     0.98 |   0.95
0433 -     20.63 |   18.57 |     0.72 |   0.92
0434 -     11.17 |    9.65 |     0.73 |   0.81
0435 -     46.32 |   33.63 |     0.79 |   0.91
0436 -      0.00 |    0.00 |     0.88 |   0.89
0437 -      0.00 |    0.00 |     0.79 |   0.92
0438 -      0.00 |    0.00 |     0.68 |   0.71
0439 -      0.00 |    0.00 |     0.30 |   0.59
0440 -      0.00 |    0.00 |     0.89 |   0.88
0441 -     27.79 |   19.44 |     0.74 |   0.97
0442 -      0.00 |    0.00 |     0.87 |   0.89
0443 -     10.31 |   14.33 |     0.79 |   0.86
0444 -     63.74 |   78.68 |     0.90 |   0.89
0445 -      0.00 |    0.00 |     0.74 |   0.74
0446 -      0.00 |    0.00 |     0.76 |   0.78
0447 -      0.00 |    6.95 |     0.64 |   0.81
0448 -      0.00 |    0.00 |     0.44 |   0.60
0449 -     24.05 |    0.00 |     0.79 |   0.75
0450 -     17.13 |   22.07 |     0.77 |   0.76
0451 -      0.00 |   82.44 |     0.81 |   0.94
0452 -      0.00 |   92.76 |     0.78 |   0.99
0453 -     46.93 |  100.00 |     0.60 |   1.00
0454 -     60.14 |   63.05 |     0.93 |   1.00
0455 -     92.77 |   95.98 |     0.88 |   0.99
0456 -     57.44 |   49.00 |     0.92 |   0.95
0457 -      0.00 |    0.00 |     0.92 |   0.91
0458 -     51.47 |  100.00 |     0.69 |   1.00
0459 -      0.00 |    6.44 |     0.87 |   0.90
0460 -     17.40 |    9.00 |     0.93 |   0.95
0461 -      0.00 |    0.00 |     0.32 |   0.55
0462 -     50.26 |   87.53 |     0.87 |   0.95
0463 -     92.14 |   74.50 |     0.89 |   0.98
0464 -      0.00 |    0.00 |     0.38 |   0.38
0465 -      0.00 |    0.00 |     0.86 |   0.87
0466 -      0.00 |    0.00 |     0.81 |   0.91
0467 -      0.00 |   13.12 |     0.85 |   0.86
0468 -      0.00 |    0.00 |     0.90 |   0.93
0469 -      0.00 |    0.00 |     0.68 |   0.73
0470 -      0.00 |    0.00 |     0.71 |   0.78
0471 -      9.77 |    8.18 |     0.60 |   0.67
0472 -     14.38 |   17.13 |     0.43 |   0.35
0473 -      0.00 |   18.79 |     0.89 |   0.86
0474 -     57.02 |    0.00 |     0.81 |   0.78
0475 -     98.89 |   35.45 |     0.94 |   0.91
0476 -      6.95 |    0.00 |     0.90 |   0.93
0477 -      0.00 |    0.00 |     0.85 |   0.88
0478 -     70.00 |   55.62 |     0.82 |   0.91
0479 -     57.40 |   52.92 |     0.90 |   0.95
0480 -      0.00 |   27.40 |     0.54 |   0.56
0481 -     35.74 |   60.12 |     0.88 |   0.91
0482 -     16.55 |   65.87 |     0.86 |   0.86
0483 -      8.86 |    4.82 |     0.88 |   0.93
0484 -     17.14 |   50.41 |     0.88 |   1.00
0485 -     17.57 |   12.45 |     0.68 |   0.67
0486 -     74.28 |   98.79 |     0.93 |   0.97
0487 -      0.00 |    0.00 |     0.93 |   0.90
0488 -      0.00 |    0.00 |     0.89 |   0.91
0489 -      0.00 |    0.00 |     0.65 |   0.70
0490 -     40.10 |   91.77 |     0.96 |   0.99
0491 -     15.57 |   27.20 |     0.71 |   0.76
0492 -      0.00 |    0.00 |     0.77 |   0.79
0493 -     98.35 |   99.68 |     0.92 |   1.00
0494 -      0.00 |    0.00 |     0.65 |   0.75
0495 -      0.00 |   10.36 |     0.84 |   0.85
0496 -      9.99 |    9.25 |     0.69 |   0.83
0497 -      7.69 |   67.67 |     0.85 |   0.97
0498 -     25.07 |   21.54 |     0.87 |   0.88
0499 -     24.57 |   25.95 |     0.96 |   1.00
0500 -      0.00 |    0.00 |     0.67 |   0.64
0501 -     67.25 |   70.27 |     0.90 |   0.98
0502 -     15.20 |   45.04 |     0.68 |   0.75
0503 -      0.00 |    0.00 |     0.77 |   0.81
0504 -     24.70 |   31.31 |     0.77 |   0.99
0505 -      0.00 |   50.98 |     0.51 |   0.60
0506 -     70.69 |  100.00 |     0.98 |   1.00
0507 -      0.00 |   10.42 |     0.05 |   0.43
