==============================================
BLEU GOLD:                               45.70
BLEU IN:                                 60.81
ACC GOLD:                               0.0000
ACC IN:                                 0.0540
SIM GOLD:                               0.7987
SIM IN:                                 0.8724
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0254 -      0.00 |    0.00 |     0.92 |   0.92
0255 -      0.00 |    0.00 |     0.62 |   0.64
0256 -      0.00 |    0.00 |     0.86 |   0.86
0257 -      0.00 |    0.00 |     0.81 |   0.88
0258 -      0.00 |    0.00 |     0.83 |   0.99
0259 -     49.36 |   45.90 |     0.79 |   0.82
0260 -      0.00 |    0.00 |     0.94 |   0.98
0261 -      0.00 |    0.00 |     0.60 |   0.63
0262 -     21.71 |    9.57 |     0.90 |   0.95
0263 -     21.74 |   16.51 |     0.81 |   0.93
0264 -     19.01 |   89.05 |     0.94 |   0.95
0265 -     34.90 |  100.00 |     0.74 |   1.00
0266 -     17.84 |   16.68 |     0.94 |   0.97
0267 -      0.00 |    0.00 |     0.84 |   0.95
0268 -      0.00 |    0.00 |     0.58 |   0.76
0269 -     40.92 |   33.44 |     0.91 |   0.99
0270 -      4.19 |    4.36 |     0.74 |   0.79
0271 -     36.44 |   90.43 |     0.93 |   0.94
0272 -      0.00 |    0.00 |     0.83 |   0.97
0273 -      0.00 |    0.00 |     0.92 |   0.94
0274 -     53.93 |   54.08 |     0.97 |   0.99
0275 -     54.97 |   57.40 |     0.58 |   0.75
0276 -      0.00 |    0.00 |     0.88 |   0.93
0277 -      5.99 |    0.00 |     0.71 |   0.81
0278 -     17.36 |   14.75 |     0.76 |   0.88
0279 -     10.80 |    9.53 |     0.37 |   0.43
0280 -     28.54 |   21.77 |     0.84 |   0.97
0281 -      0.00 |    0.00 |     0.65 |   0.61
0282 -      0.00 |    0.00 |     0.92 |   0.92
0283 -     33.30 |  100.00 |     0.88 |   1.00
0284 -     14.86 |   42.09 |     0.84 |   0.92
0285 -     32.21 |   22.77 |     0.93 |   0.98
0286 -      0.00 |    0.00 |     0.75 |   0.81
0287 -     15.16 |    9.83 |     0.76 |   0.81
0288 -     18.82 |   16.08 |     0.93 |   0.95
0289 -     36.89 |   56.25 |     0.77 |   0.85
0290 -     99.76 |   90.55 |     0.91 |   0.99
0291 -      0.00 |    0.00 |     0.85 |   0.94
0292 -      0.00 |    0.00 |     0.84 |   0.91
0293 -     51.73 |   34.89 |     0.89 |   0.89
0294 -     13.40 |   12.58 |     0.83 |   0.94
0295 -      0.00 |    8.78 |     0.91 |   0.97
0296 -      0.00 |    0.00 |     0.77 |   0.76
0297 -     50.23 |   39.56 |     0.63 |   0.71
0298 -      9.26 |    7.48 |     0.91 |   0.92
0299 -     11.71 |   13.02 |     0.99 |   0.99
0300 -      0.00 |    0.00 |     0.87 |   0.94
0301 -     35.70 |   71.23 |     0.90 |   0.91
0302 -     12.38 |   11.69 |     0.94 |   0.98
0303 -     44.71 |   98.75 |     0.91 |   0.95
0304 -      0.00 |   16.22 |     0.71 |   0.90
0305 -     29.70 |   28.93 |     0.92 |   0.98
0306 -      0.00 |    0.00 |     0.62 |   0.55
0307 -      0.00 |    0.00 |     0.87 |   1.00
0308 -      0.00 |    0.00 |     0.74 |   0.82
0309 -     10.66 |   12.78 |     0.88 |   0.97
0310 -     29.86 |   27.28 |     0.94 |   0.99
0311 -      9.38 |    5.47 |     0.64 |   0.83
0312 -     50.04 |   42.65 |     0.86 |   0.82
0313 -      0.00 |    0.00 |     0.82 |   0.85
0314 -      0.00 |    0.00 |     0.82 |   0.86
0315 -      0.00 |    0.00 |     0.78 |   0.78
0316 -      0.00 |   31.03 |     0.86 |   0.87
0317 -      6.21 |    0.00 |     0.94 |   0.99
0318 -      0.00 |    0.00 |     0.59 |   0.63
0319 -     10.43 |    9.31 |     0.96 |   0.99
0320 -     67.11 |  100.00 |     0.99 |   1.00
0321 -      0.00 |    0.00 |     0.83 |   0.89
0322 -      0.00 |    0.00 |     0.68 |   0.72
0323 -     20.51 |   21.50 |     0.89 |   0.92
0324 -      0.00 |    0.00 |     0.89 |   0.90
0325 -      0.00 |    6.69 |     0.71 |   0.74
0326 -      0.00 |    0.00 |     0.78 |   0.82
0327 -     33.88 |  100.00 |     0.80 |   1.00
0328 -      0.00 |    0.00 |     0.76 |   0.78
0329 -      0.00 |    0.00 |     0.88 |   0.92
0330 -     17.08 |   29.12 |     0.92 |   0.99
0331 -     28.49 |   33.53 |     0.82 |   0.95
0332 -      0.00 |    0.00 |     0.78 |   0.95
0333 -      0.00 |    0.00 |     0.86 |   0.85
0334 -      0.00 |    0.00 |     0.94 |   0.96
0335 -     69.96 |   12.23 |     0.96 |   0.98
0336 -      7.54 |   42.94 |     0.72 |   0.80
0337 -     21.00 |   25.97 |     0.92 |   0.94
0338 -      0.00 |    0.00 |     0.88 |   0.96
0339 -      0.00 |    0.00 |     0.75 |   0.76
0340 -     64.48 |   84.55 |     0.87 |   0.96
0341 -     28.27 |   29.19 |     0.73 |   0.94
0342 -     46.79 |   97.26 |     0.95 |   1.00
0343 -     21.56 |  100.00 |     0.92 |   1.00
0344 -      0.00 |    6.94 |     0.45 |   0.55
0345 -     10.15 |    0.00 |     0.55 |   0.59
0346 -     15.30 |   94.07 |     0.89 |   0.97
0347 -      0.00 |    0.00 |     0.82 |   0.84
0348 -     89.75 |   68.89 |     0.97 |   0.98
0349 -     26.99 |   39.20 |     0.76 |   0.98
0350 -      0.00 |    0.00 |     0.71 |   0.72
0351 -     18.56 |   54.34 |     0.81 |   0.85
0352 -      0.00 |    0.00 |     0.74 |   0.79
0353 -      0.00 |    0.00 |     0.93 |   0.97
0354 -      7.63 |   41.28 |     0.94 |   0.97
0355 -      0.00 |    0.00 |     0.84 |   0.94
0356 -      0.00 |    0.00 |     0.84 |   0.89
0357 -      0.00 |    0.00 |     0.94 |   0.99
0358 -      0.00 |    0.00 |     0.71 |   0.86
0359 -      0.00 |    0.00 |     0.85 |   0.89
0360 -      0.00 |    0.00 |     0.86 |   0.86
0361 -     42.08 |   37.19 |     0.90 |   0.93
0362 -      0.00 |    0.00 |     0.66 |   0.69
0363 -     46.46 |   62.69 |     0.80 |   0.83
0364 -     44.69 |   41.75 |     0.94 |   0.97
0365 -      0.00 |    0.00 |     0.88 |   0.99
0366 -     50.72 |   45.91 |     0.96 |   0.99
0367 -      5.51 |    5.46 |     0.93 |   0.93
0368 -     41.12 |  100.00 |     0.76 |   1.00
0369 -     19.89 |   15.52 |     0.90 |   0.97
0370 -      0.00 |   56.40 |     0.90 |   0.90
0371 -      0.00 |    0.00 |     0.79 |   0.82
0372 -     60.86 |   53.28 |     0.85 |   0.91
0373 -     15.75 |   14.59 |     0.85 |   0.97
0374 -     31.28 |   71.99 |     0.97 |   0.98
0375 -     43.43 |   73.75 |     0.92 |   0.97
0376 -      0.00 |    0.00 |     0.90 |   0.93
0377 -     39.31 |  100.00 |     0.81 |   1.00
0378 -      0.00 |    0.00 |     0.81 |   0.89
0379 -     27.70 |   24.35 |     0.87 |   0.81
0380 -      0.00 |    0.00 |     0.72 |   0.74
0381 -      0.00 |    0.00 |     0.86 |   0.90
0382 -      0.00 |    0.00 |     0.77 |   0.90
0383 -      0.00 |    0.00 |     0.40 |   0.70
0384 -      0.00 |    0.00 |     0.91 |   0.93
0385 -      0.00 |   54.19 |     0.90 |   0.96
0386 -      0.00 |    0.00 |     0.49 |   0.54
0387 -      0.00 |    0.00 |     0.92 |   0.88
0388 -     15.48 |   14.26 |     0.93 |   0.99
0389 -     86.49 |   95.62 |     0.82 |   0.83
0390 -     45.51 |    0.00 |     0.85 |   0.93
0391 -     22.24 |   34.34 |     0.78 |   0.97
0392 -     38.49 |   27.69 |     0.84 |   0.91
0393 -      0.00 |   32.94 |     0.77 |   0.97
0394 -      0.00 |    0.00 |     0.90 |   0.95
0395 -     21.46 |   22.18 |     0.96 |   0.97
0396 -     51.87 |   46.66 |     0.96 |   0.96
0397 -     81.65 |   77.05 |     0.96 |   0.98
0398 -      0.00 |    0.00 |     0.77 |   0.86
0399 -      0.00 |    0.00 |     0.82 |   0.78
0400 -      4.02 |    4.31 |     0.60 |   0.66
0401 -      0.00 |   24.84 |     0.80 |   0.80
0402 -      0.00 |    0.00 |     0.88 |   0.93
0403 -      0.00 |    0.00 |     0.76 |   0.78
0404 -      0.00 |    0.00 |     0.94 |   0.98
0405 -     22.72 |   22.61 |     0.81 |   0.86
0406 -      8.79 |    0.00 |     0.86 |   0.94
0407 -      9.33 |    8.91 |     0.75 |   0.93
0408 -      7.16 |   18.95 |     0.87 |   0.89
0409 -      0.00 |    0.00 |     0.68 |   0.80
0410 -      0.00 |    0.00 |     0.76 |   0.74
0411 -      0.00 |   14.41 |     0.66 |   0.74
0412 -      0.00 |    0.00 |     0.94 |   0.96
0413 -      0.00 |    0.00 |     0.57 |   0.56
0414 -      0.00 |    0.00 |     0.68 |   0.82
0415 -      0.00 |    0.00 |     0.69 |   0.81
0416 -      7.87 |   98.88 |     0.90 |   0.96
0417 -      0.00 |   48.57 |     0.63 |   0.82
0418 -     40.34 |   36.91 |     0.88 |   0.86
0419 -      0.00 |    0.00 |     0.71 |   0.95
0420 -     13.98 |    0.00 |     0.82 |   0.84
0421 -     31.31 |   29.18 |     0.61 |   0.73
0422 -     36.68 |   44.53 |     0.67 |   0.64
0423 -     49.35 |  100.00 |     0.90 |   1.00
0424 -     28.52 |   99.78 |     0.95 |   1.00
0425 -     10.40 |   10.74 |     0.63 |   0.75
0426 -      0.00 |    0.00 |     0.64 |   0.69
0427 -     23.32 |   35.99 |     0.83 |   0.86
0428 -      6.72 |   99.40 |     0.89 |   0.95
0429 -     95.62 |  100.00 |     0.83 |   1.00
0430 -     38.10 |   28.16 |     0.87 |   0.93
0431 -      0.00 |    0.00 |     0.50 |   0.55
0432 -     67.11 |   80.13 |     0.94 |   0.98
0433 -     12.61 |    0.00 |     0.62 |   0.71
0434 -      0.00 |    0.00 |     0.77 |   0.83
0435 -     71.03 |   49.48 |     0.83 |   0.93
0436 -      9.83 |    9.83 |     0.85 |   0.87
0437 -      0.00 |   85.69 |     0.84 |   0.95
0438 -      0.00 |    0.00 |     0.67 |   0.75
0439 -      0.00 |   24.21 |     0.92 |   0.97
0440 -      0.00 |    0.00 |     0.81 |   0.78
0441 -     23.07 |   14.65 |     0.63 |   0.85
0442 -      0.00 |   27.00 |     0.70 |   0.70
0443 -     38.85 |   72.00 |     0.85 |   0.94
0444 -      0.00 |    0.00 |     0.89 |   0.90
0445 -     49.43 |   73.56 |     0.99 |   0.99
0446 -     45.99 |   98.72 |     0.92 |   0.95
0447 -     15.97 |   13.01 |     0.70 |   0.81
0448 -      0.00 |    0.00 |     0.46 |   0.76
0449 -     33.51 |   52.65 |     0.87 |   0.94
0450 -     15.10 |  100.00 |     0.98 |   1.00
0451 -      0.00 |   49.26 |     0.81 |   0.98
0452 -      0.00 |  100.00 |     0.79 |   1.00
0453 -     39.53 |  100.00 |     0.60 |   1.00
0454 -     60.68 |   58.55 |     0.81 |   0.88
0455 -      0.00 |    0.00 |     0.79 |   0.92
0456 -     56.59 |   64.14 |     0.92 |   0.96
0457 -     24.31 |   21.50 |     0.95 |   0.99
0458 -     50.15 |  100.00 |     0.69 |   1.00
0459 -      0.00 |    0.00 |     0.60 |   0.65
0460 -      0.00 |    0.00 |     0.80 |   0.81
0461 -      9.91 |   11.44 |     0.38 |   0.68
0462 -      0.00 |    0.00 |     0.64 |   0.73
0463 -      0.00 |    0.00 |     0.74 |   0.90
0464 -      0.00 |    0.00 |     0.69 |   0.73
0465 -     20.26 |   19.85 |     0.83 |   0.84
0466 -     40.23 |  100.00 |     0.90 |   1.00
0467 -      0.00 |   11.55 |     0.92 |   0.92
