==============================================
BLEU GOLD:                               70.15
BLEU IN:                                 78.26
ACC GOLD:                               0.0072
ACC IN:                                 0.2428
SIM GOLD:                               0.9053
SIM IN:                                 0.9386
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0178 -     65.79 |  100.00 |     0.91 |   1.00
0179 -     87.89 |  100.00 |     0.91 |   1.00
0180 -      0.00 |    0.00 |     0.82 |   0.86
0181 -     38.57 |   44.21 |     0.95 |   1.00
0182 -      0.00 |    0.00 |     0.89 |   0.88
0183 -     47.50 |   28.13 |     0.97 |   1.00
0184 -     55.15 |  100.00 |     0.96 |   1.00
0185 -      0.00 |    0.00 |     0.83 |   0.87
0186 -      0.00 |    0.00 |     0.56 |   0.58
0187 -     19.78 |  100.00 |     0.94 |   1.00
0188 -     76.31 |  100.00 |     0.95 |   1.00
0189 -     44.68 |  100.00 |     0.84 |   1.00
0190 -      0.00 |   30.80 |     0.93 |   0.97
0191 -     22.87 |   46.90 |     0.82 |   0.77
0192 -      0.00 |    0.00 |     0.93 |   0.97
0193 -      0.00 |    0.00 |     0.85 |   0.90
0194 -      0.00 |   20.62 |     0.94 |   0.96
0195 -     66.95 |  100.00 |     0.99 |   1.00
0196 -      0.00 |    0.00 |     0.98 |   0.96
0197 -      0.00 |    0.00 |     0.56 |   0.64
0198 -     85.92 |  100.00 |     0.97 |   1.00
0199 -     90.56 |   99.77 |     0.93 |   1.00
0200 -     14.68 |   14.68 |     0.93 |   0.95
0201 -     14.05 |  100.00 |     0.98 |   1.00
0202 -     56.41 |  100.00 |     0.97 |   1.00
0203 -      0.00 |    0.00 |     0.82 |   0.88
0204 -     17.56 |  100.00 |     1.00 |   1.00
0205 -      0.00 |    0.00 |     0.90 |   0.95
0206 -     25.11 |   31.08 |     0.98 |   1.00
0207 -     77.06 |   85.16 |     0.92 |   0.94
0208 -    100.00 |   71.96 |     1.00 |   0.96
0209 -     49.25 |   49.25 |     0.76 |   0.82
0210 -     37.94 |   82.97 |     0.97 |   0.98
0211 -     24.74 |  100.00 |     0.97 |   1.00
0212 -      0.00 |    0.00 |     0.82 |   0.83
0213 -      0.00 |    0.00 |     0.88 |   0.90
0214 -      0.00 |    0.00 |     0.81 |   0.90
0215 -      0.00 |    0.00 |     0.89 |   0.93
0216 -     47.27 |   52.80 |     0.98 |   1.00
0217 -      0.00 |    0.00 |     0.62 |   0.77
0218 -     65.06 |   72.09 |     0.85 |   0.87
0219 -     85.01 |   50.24 |     0.97 |   1.00
0220 -     51.27 |   52.53 |     0.90 |   0.99
0221 -      0.00 |    0.00 |     0.86 |   0.97
0222 -      0.00 |    0.00 |     0.97 |   0.98
0223 -      0.00 |    0.00 |     0.72 |   0.77
0224 -     85.96 |   90.54 |     0.98 |   0.98
0225 -      0.00 |    0.00 |     0.85 |   0.89
0226 -     67.75 |  100.00 |     0.96 |   1.00
0227 -      5.54 |    0.00 |     0.94 |   0.99
0228 -      0.00 |    0.00 |     0.89 |   0.92
0229 -      0.00 |   12.28 |     0.86 |   0.88
0230 -      0.00 |    0.00 |     0.89 |   0.91
0231 -     15.02 |    0.00 |     0.98 |   0.99
0232 -      0.00 |    0.00 |     0.97 |   1.00
0233 -     50.89 |  100.00 |     0.95 |   1.00
0234 -     77.26 |    9.84 |     0.97 |   0.98
0235 -      0.00 |    0.00 |     0.87 |   0.91
0236 -      0.00 |  100.00 |     0.94 |   1.00
0237 -      0.00 |    0.00 |     0.90 |   0.93
0238 -     66.52 |  100.00 |     0.98 |   1.00
0239 -     42.02 |    0.00 |     0.97 |   1.00
0240 -     11.10 |  100.00 |     0.98 |   1.00
0241 -     41.35 |  100.00 |     0.98 |   1.00
0242 -      5.37 |  100.00 |     0.99 |   1.00
0243 -     70.31 |  100.00 |     0.89 |   1.00
0244 -     49.88 |   75.68 |     0.96 |   0.98
0245 -      0.00 |   98.66 |     0.98 |   1.00
0246 -     29.47 |   32.21 |     0.91 |   0.94
0247 -     94.47 |   96.57 |     0.96 |   0.97
0248 -      0.00 |    0.00 |     0.57 |   0.58
0249 -     25.28 |   23.17 |     0.84 |   0.81
0250 -      0.00 |   15.05 |     0.95 |   0.96
0251 -      0.00 |   40.60 |     0.94 |   1.00
0252 -      0.00 |   35.47 |     0.99 |   0.97
0253 -      3.86 |    0.00 |     0.92 |   0.95
0254 -      6.18 |    6.82 |     0.91 |   0.96
0255 -     13.58 |  100.00 |     0.95 |   1.00
0256 -      9.20 |  100.00 |     0.98 |   1.00
0257 -      0.00 |    0.00 |     0.80 |   0.81
0258 -      0.00 |    0.00 |     0.60 |   0.61
0259 -     86.47 |  100.00 |     0.94 |   1.00
0260 -     25.51 |   25.08 |     0.84 |   0.99
