==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 49.25
SIM GOLD:                               0.8516
SIM IN:                                 0.9311
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0211 -     11.44 |  100.00 |     0.86 |   1.00
0212 -     39.97 |   45.95 |     0.87 |   0.94
0213 -     12.25 |   13.97 |     0.86 |   0.94
0214 -      7.63 |    8.07 |     0.84 |   0.95
0215 -      0.00 |    0.00 |     0.81 |   0.86
0216 -      6.26 |   98.15 |     0.96 |   1.00
0217 -     18.85 |   17.21 |     0.63 |   0.68
0218 -      0.00 |   98.65 |     0.84 |   1.00
0219 -      0.00 |    0.00 |     0.92 |   0.99
0220 -     21.38 |   77.74 |     0.76 |   0.80
0221 -     63.61 |   56.52 |     0.81 |   0.82
0222 -      0.00 |    0.00 |     0.78 |   0.74
0223 -     77.52 |   74.39 |     0.94 |   0.95
0224 -      0.00 |    4.31 |     0.60 |   0.65
0225 -     57.86 |  100.00 |     0.86 |   1.00
0226 -      0.00 |    0.00 |     0.75 |   0.79
0227 -      0.00 |    0.00 |     0.84 |   0.88
0228 -     27.70 |   96.07 |     0.91 |   0.96
0229 -     51.48 |  100.00 |     0.51 |   1.00
0230 -      6.08 |   79.38 |     0.90 |   0.98
0231 -     29.49 |   27.95 |     0.87 |   0.96
0232 -      0.00 |   97.64 |     0.95 |   1.00
0233 -     18.09 |   98.92 |     0.93 |   1.00
0234 -     72.82 |   83.17 |     0.94 |   0.95
0235 -      0.00 |   56.72 |     0.95 |   1.00
0236 -     28.31 |   79.15 |     0.98 |   1.00
0237 -      8.72 |   73.78 |     0.84 |   0.89
0238 -      0.00 |   30.41 |     0.83 |   0.98
0239 -      0.00 |    0.00 |     0.75 |   0.87
0240 -      0.00 |    0.00 |     0.68 |   0.83
0241 -     17.89 |   96.83 |     0.98 |   1.00
0242 -      0.00 |    0.00 |     0.74 |   0.78
0243 -      0.00 |    0.00 |     0.96 |   0.98
0244 -     77.36 |  100.00 |     0.91 |   1.00
0245 -     61.40 |   36.05 |     0.86 |   0.97
0246 -      0.00 |  100.00 |     0.86 |   1.00
0247 -     13.62 |    0.00 |     0.71 |   0.67
0248 -      0.00 |    0.00 |     0.93 |   0.96
0249 -     16.36 |   25.90 |     0.94 |   0.97
0250 -      0.00 |    0.00 |     0.71 |   0.66
0251 -      0.00 |   92.35 |     0.93 |   0.97
0252 -     42.06 |   91.44 |     0.83 |   0.98
0253 -      0.00 |    0.00 |     0.82 |   1.00
0254 -      0.00 |    0.00 |     0.89 |   0.91
0255 -      0.00 |    0.00 |     0.54 |   0.66
0256 -      0.00 |    0.00 |     0.85 |   0.92
0257 -      0.00 |   67.41 |     0.82 |   0.86
0258 -     46.51 |   66.84 |     0.77 |   0.96
0259 -     67.29 |   98.40 |     0.88 |   0.99
0260 -      0.00 |    0.00 |     0.95 |   0.99
0261 -     13.11 |    0.00 |     0.51 |   0.53
0262 -     26.87 |   26.63 |     0.79 |   0.83
0263 -      5.13 |    4.68 |     0.76 |   0.88
0264 -     18.93 |   16.59 |     0.93 |   0.94
0265 -     37.41 |   82.07 |     0.73 |   0.99
0266 -     19.99 |   98.93 |     0.98 |   0.99
0267 -      7.48 |    0.00 |     0.98 |   0.89
0268 -     67.52 |  100.00 |     0.79 |   1.00
0269 -     48.19 |  100.00 |     0.92 |   1.00
0270 -     99.40 |  100.00 |     0.97 |   1.00
0271 -     41.27 |  100.00 |     0.97 |   1.00
0272 -     33.73 |  100.00 |     0.86 |   1.00
0273 -      0.00 |    0.00 |     0.95 |   0.97
0274 -     89.84 |   98.97 |     0.96 |   0.98
0275 -     77.41 |   84.50 |     0.83 |   0.95
0276 -      0.00 |    0.00 |     0.77 |   0.86
0277 -     46.62 |   98.62 |     0.91 |   1.00
0278 -     69.37 |   95.72 |     0.86 |   0.98
0279 -     79.81 |   85.43 |     0.78 |   0.93
0280 -     90.52 |   92.50 |     0.87 |   0.96
0281 -     52.16 |   35.95 |     0.87 |   0.94
0282 -     43.61 |   43.41 |     0.97 |   0.97
0283 -     90.38 |   34.86 |     0.84 |   0.80
0284 -     23.75 |   92.43 |     0.88 |   0.98
0285 -     61.67 |   65.59 |     0.67 |   0.82
0286 -      0.00 |    0.00 |     0.92 |   0.98
0287 -     10.63 |    8.45 |     0.81 |   0.94
0288 -     59.50 |   69.24 |     0.95 |   0.99
0289 -     68.77 |   90.78 |     0.88 |   0.97
0290 -     59.92 |   46.55 |     0.91 |   0.99
0291 -      0.00 |    0.00 |     0.78 |   0.91
0292 -     52.21 |   95.34 |     0.92 |   0.99
0293 -     39.55 |  100.00 |     0.99 |   1.00
0294 -      0.00 |    0.00 |     0.91 |   1.00
0295 -     64.64 |    0.00 |     0.82 |   0.89
0296 -     77.79 |   27.96 |     0.98 |   1.00
0297 -     25.77 |   25.16 |     0.95 |   1.00
0298 -     12.28 |   98.61 |     0.92 |   0.99
0299 -     20.00 |   38.33 |     0.97 |   0.98
0300 -      3.71 |    3.92 |     0.57 |   0.73
0301 -     50.83 |  100.00 |     0.94 |   1.00
0302 -     66.78 |  100.00 |     0.95 |   1.00
0303 -     44.99 |   99.27 |     0.94 |   0.98
0304 -      0.00 |   92.75 |     0.73 |   0.97
0305 -     99.00 |  100.00 |     0.94 |   1.00
0306 -      4.33 |    0.00 |     0.76 |   0.78
0307 -     27.10 |  100.00 |     0.87 |   1.00
0308 -     57.62 |   42.71 |     0.75 |   0.88
0309 -     12.03 |   80.36 |     0.85 |   0.94
0310 -     53.39 |   91.73 |     0.94 |   0.98
0311 -      0.00 |    7.32 |     0.77 |   0.98
0312 -     56.22 |   53.58 |     0.77 |   0.95
0313 -      0.00 |    0.00 |     0.93 |   1.00
0314 -      0.00 |    0.00 |     0.88 |   0.93
0315 -     84.35 |  100.00 |     0.90 |   1.00
0316 -      0.00 |    0.00 |     0.91 |   0.92
0317 -      9.78 |   27.88 |     0.92 |   0.96
0318 -     18.31 |    0.00 |     0.81 |   0.85
0319 -      9.65 |   89.61 |     0.97 |   0.98
0320 -     78.79 |  100.00 |     0.99 |   1.00
0321 -     48.43 |   49.14 |     0.91 |   0.96
0322 -      0.00 |    0.00 |     0.65 |   0.79
0323 -     22.06 |   34.86 |     0.96 |   0.98
0324 -      0.00 |   98.11 |     0.94 |   0.95
0325 -     20.86 |   56.04 |     0.77 |   0.76
0326 -      0.00 |    0.00 |     0.95 |   0.98
0327 -     43.23 |  100.00 |     0.80 |   1.00
0328 -     40.53 |   84.50 |     0.94 |   0.96
0329 -      0.00 |    0.00 |     0.67 |   0.66
0330 -     85.91 |  100.00 |     0.92 |   1.00
0331 -     30.89 |   62.09 |     0.85 |   0.99
0332 -      0.00 |   10.81 |     0.72 |   0.89
0333 -      0.00 |    5.45 |     0.77 |   0.81
0334 -      0.00 |    0.00 |     0.86 |   0.87
0335 -      0.00 |   36.56 |     0.93 |   0.96
0336 -      7.02 |   53.58 |     0.90 |   0.94
0337 -     82.73 |   90.30 |     0.97 |   0.98
0338 -      0.00 |    0.00 |     0.82 |   0.90
0339 -     96.54 |   99.30 |     0.95 |   1.00
0340 -     86.87 |   97.84 |     0.90 |   1.00
0341 -     58.37 |   66.46 |     0.78 |   0.90
0342 -     34.99 |   25.47 |     0.96 |   1.00
0343 -     24.03 |  100.00 |     0.92 |   1.00
0344 -     46.09 |   59.22 |     0.91 |   0.99
0345 -      7.11 |   12.48 |     0.94 |   0.96
0346 -     16.74 |   18.35 |     0.93 |   0.98
0347 -      0.00 |    0.00 |     0.97 |   1.00
0348 -     66.50 |   99.09 |     0.96 |   1.00
0349 -     32.54 |   34.41 |     0.76 |   0.95
0350 -      0.00 |    0.00 |     0.86 |   0.95
0351 -     24.37 |   17.17 |     0.91 |   0.96
0352 -     98.73 |  100.00 |     0.95 |   1.00
0353 -     40.41 |   63.44 |     0.93 |   0.97
0354 -     42.38 |   64.57 |     0.96 |   0.99
0355 -      0.00 |    0.00 |     0.85 |   0.95
0356 -      0.00 |    0.00 |     0.85 |   0.92
0357 -      0.00 |    0.00 |     0.88 |   0.89
0358 -     18.28 |   36.26 |     0.81 |   0.91
0359 -     18.75 |   16.26 |     0.88 |   0.93
0360 -      9.74 |    0.00 |     0.85 |   0.86
0361 -      6.01 |    5.94 |     0.58 |   0.58
0362 -      5.73 |    0.00 |     0.86 |   0.89
0363 -     56.78 |   91.38 |     0.91 |   0.96
0364 -     54.12 |   96.76 |     0.94 |   0.98
0365 -      0.00 |    0.00 |     0.85 |   0.93
0366 -     73.26 |  100.00 |     0.97 |   1.00
0367 -      0.00 |   85.66 |     0.90 |   0.91
0368 -     47.48 |  100.00 |     0.76 |   1.00
0369 -      0.00 |    0.00 |     0.89 |   0.96
0370 -      0.00 |  100.00 |     0.96 |   1.00
0371 -      0.00 |   36.33 |     0.89 |   0.92
0372 -     70.62 |  100.00 |     0.95 |   1.00
0373 -     17.23 |  100.00 |     0.88 |   1.00
0374 -     30.74 |   73.63 |     0.97 |   0.98
0375 -     49.43 |   61.37 |     0.94 |   0.99
0376 -     65.48 |   91.58 |     0.91 |   0.97
0377 -     45.65 |   74.95 |     0.74 |   0.95
0378 -      0.00 |    0.00 |     0.86 |   0.93
0379 -     28.20 |   31.77 |     0.93 |   0.98
0380 -      0.00 |    8.14 |     0.95 |   0.94
0381 -      0.00 |    0.00 |     0.88 |   0.94
0382 -     98.52 |   98.90 |     0.81 |   0.94
0383 -     67.78 |  100.00 |     0.81 |   1.00
0384 -     26.00 |   98.04 |     0.98 |   1.00
0385 -      0.00 |    0.00 |     0.94 |   0.97
0386 -      0.00 |  100.00 |     0.95 |   1.00
0387 -      0.00 |    0.00 |     0.91 |   0.89
0388 -     14.77 |   14.95 |     0.90 |   0.95
0389 -     86.04 |   98.64 |     0.79 |   0.83
0390 -     42.18 |    0.00 |     0.83 |   0.78
0391 -     23.26 |   57.85 |     0.48 |   0.69
0392 -     83.15 |   90.00 |     0.89 |   0.97
0393 -     18.03 |   13.48 |     0.80 |   0.99
0394 -      0.00 |    0.00 |     0.85 |   0.94
0395 -     57.62 |   98.37 |     0.98 |   1.00
0396 -     48.43 |  100.00 |     0.98 |   1.00
0397 -     78.29 |  100.00 |     0.98 |   1.00
0398 -      0.00 |    0.00 |     0.92 |   0.99
0399 -     70.76 |  100.00 |     0.87 |   1.00
0400 -      0.00 |    0.00 |     0.59 |   0.62
0401 -      0.00 |   63.60 |     0.98 |   1.00
0402 -     77.62 |   99.54 |     0.95 |   1.00
0403 -      4.00 |    4.23 |     0.90 |   1.00
0404 -     13.54 |    0.00 |     0.67 |   0.61
0405 -     70.48 |   85.61 |     0.87 |   0.92
0406 -     38.60 |    0.00 |     0.90 |   0.86
0407 -     61.97 |  100.00 |     0.86 |   1.00
0408 -      7.87 |  100.00 |     0.99 |   1.00
0409 -     17.65 |   71.20 |     0.92 |   1.00
0410 -     85.66 |   80.43 |     0.95 |   0.99
0411 -      0.00 |   86.90 |     0.85 |   0.99
0412 -      0.00 |    0.00 |     0.96 |   0.99
0413 -     61.70 |   68.58 |     0.84 |   1.00
0414 -     24.77 |   30.87 |     0.88 |   0.92
0415 -      0.00 |    0.00 |     0.87 |   0.85
0416 -     14.21 |    5.94 |     0.82 |   0.90
0417 -      0.00 |    0.00 |     0.79 |   0.99
0418 -     68.45 |   60.51 |     0.94 |   0.92
0419 -     12.51 |    0.00 |     0.55 |   0.75
0420 -     23.90 |   71.84 |     0.96 |   1.00
0421 -      7.55 |    6.75 |     0.80 |   0.79
0422 -     48.32 |   99.09 |     0.71 |   0.89
0423 -     50.30 |  100.00 |     0.90 |   1.00
0424 -     26.90 |  100.00 |     0.95 |   1.00
0425 -     34.74 |  100.00 |     0.83 |   1.00
0426 -     45.87 |    0.00 |     0.85 |   0.89
0427 -     25.41 |   98.26 |     0.94 |   0.96
0428 -      6.77 |   99.26 |     0.89 |   0.96
0429 -      0.00 |    0.00 |     0.76 |   0.92
0430 -     41.35 |   32.17 |     0.89 |   0.97
0431 -      0.00 |    0.00 |     0.68 |   0.77
0432 -     70.23 |  100.00 |     0.97 |   1.00
0433 -      8.10 |    0.00 |     0.62 |   0.85
0434 -     23.71 |   22.54 |     0.94 |   1.00
0435 -      0.00 |    0.00 |     0.86 |   0.97
0436 -     70.76 |   78.64 |     0.99 |   1.00
0437 -      0.00 |   36.82 |     0.76 |   0.90
0438 -      0.00 |    0.00 |     0.89 |   0.89
0439 -      8.01 |  100.00 |     0.91 |   1.00
0440 -     27.06 |   22.73 |     0.83 |   0.84
0441 -     24.20 |   15.21 |     0.63 |   0.94
0442 -      0.00 |   93.76 |     0.93 |   0.96
0443 -     37.33 |   78.79 |     0.87 |   0.96
0444 -     66.48 |   90.49 |     0.94 |   0.99
0445 -      6.56 |    0.00 |     0.94 |   0.94
0446 -      0.00 |    0.00 |     0.94 |   0.97
0447 -     17.96 |   14.33 |     0.77 |   0.95
0448 -      0.00 |    0.00 |     0.59 |   0.89
0449 -      0.00 |    0.00 |     0.90 |   0.96
0450 -      0.00 |    0.00 |     0.31 |   0.35
0451 -      0.00 |   98.25 |     0.79 |   0.96
0452 -      0.00 |   78.98 |     0.76 |   0.98
0453 -     46.93 |  100.00 |     0.60 |   1.00
0454 -     59.54 |  100.00 |     0.93 |   1.00
0455 -     98.53 |  100.00 |     0.89 |   1.00
0456 -     98.93 |   99.38 |     0.95 |   0.99
0457 -     38.88 |   18.65 |     0.95 |   0.98
0458 -     51.47 |  100.00 |     0.69 |   1.00
0459 -      0.00 |    0.00 |     0.66 |   0.71
0460 -      0.00 |    0.00 |     0.88 |   0.89
0461 -      8.50 |   68.37 |     0.87 |   0.95
0462 -     81.05 |   73.13 |     0.91 |   0.98
0463 -     92.57 |   90.06 |     0.91 |   0.99
0464 -      0.00 |    0.00 |     0.53 |   0.69
0465 -     80.75 |   94.06 |     0.93 |   0.94
0466 -     38.74 |  100.00 |     0.90 |   1.00
0467 -     56.16 |   67.12 |     0.98 |   1.00
0468 -     95.06 |  100.00 |     0.98 |   1.00
0469 -     43.20 |    0.00 |     0.87 |   0.89
0470 -      0.00 |    0.00 |     0.86 |   0.91
0471 -      0.00 |    0.00 |     0.68 |   0.65
0472 -     14.46 |   16.16 |     0.52 |   0.60
0473 -      5.93 |   98.83 |     0.90 |   0.95
0474 -      0.00 |    0.00 |     0.92 |   0.90
0475 -     39.52 |  100.00 |     0.96 |   1.00
0476 -      6.99 |    0.00 |     0.90 |   0.93
0477 -     35.04 |   35.21 |     0.97 |   1.00
0478 -     68.36 |   53.24 |     0.83 |   0.92
0479 -     58.12 |   63.75 |     0.92 |   0.98
0480 -     30.51 |   65.81 |     0.72 |   0.86
0481 -     61.84 |   59.91 |     0.96 |   0.99
0482 -     22.51 |   80.70 |     0.88 |   0.95
0483 -      3.67 |    9.47 |     0.92 |   0.95
0484 -     17.14 |   50.41 |     0.88 |   1.00
0485 -      0.00 |    0.00 |     0.80 |   0.76
0486 -     23.01 |   22.48 |     0.96 |   1.00
0487 -     23.10 |   20.64 |     0.85 |   0.80
0488 -      0.00 |    0.00 |     0.70 |   0.69
0489 -     44.47 |  100.00 |     0.94 |   1.00
0490 -     40.73 |  100.00 |     0.97 |   1.00
0491 -      0.00 |   12.78 |     0.75 |   0.80
0492 -      0.00 |    0.00 |     0.69 |   0.63
0493 -     98.79 |  100.00 |     0.92 |   1.00
0494 -      0.00 |    0.00 |     0.60 |   0.83
0495 -     21.84 |   59.09 |     0.95 |   0.96
0496 -     23.86 |   23.73 |     0.70 |   0.78
0497 -     30.34 |    8.06 |     0.86 |   1.00
0498 -     90.14 |   39.35 |     0.97 |   0.99
0499 -     67.59 |   55.74 |     0.94 |   0.97
0500 -     11.85 |  100.00 |     0.90 |   1.00
0501 -     52.30 |   58.71 |     0.89 |   0.97
0502 -     20.82 |  100.00 |     0.87 |   1.00
0503 -      0.00 |    0.00 |     0.83 |   0.88
0504 -     81.88 |  100.00 |     0.78 |   1.00
0505 -      9.91 |   80.87 |     0.70 |   0.91
0506 -     70.69 |  100.00 |     0.98 |   1.00
0507 -      0.00 |   87.47 |     0.62 |   0.97
