==============================================
BLEU GOLD:                               80.30
BLEU IN:                                 89.24
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0381 -      0.00 |   92.49 |     0.88 |   0.88
0382 -    100.00 |   88.04 |     1.00 |   0.93
0383 -     90.69 |  100.00 |     0.95 |   1.00
0384 -     27.40 |   30.22 |     0.96 |   0.99
0385 -      0.00 |    0.00 |     0.95 |   0.98
0386 -     67.20 |  100.00 |     0.99 |   1.00
0387 -     38.84 |  100.00 |     0.99 |   1.00
0388 -     75.04 |    0.00 |     0.98 |   1.00
0389 -     92.29 |  100.00 |     0.95 |   1.00
0390 -     13.37 |  100.00 |     0.98 |   1.00
0391 -     35.33 |   35.33 |     0.53 |   0.69
0392 -     63.17 |  100.00 |     0.98 |   1.00
0393 -     39.53 |  100.00 |     0.96 |   1.00
0394 -     31.50 |  100.00 |     0.97 |   1.00
0395 -     88.03 |  100.00 |     1.00 |   1.00
0396 -     89.02 |   89.51 |     0.96 |   0.95
0397 -     92.36 |  100.00 |     0.97 |   1.00
0398 -     22.98 |  100.00 |     0.97 |   1.00
0399 -     81.78 |  100.00 |     0.96 |   1.00
0400 -     64.32 |   64.15 |     0.96 |   0.99
0401 -      8.25 |    8.25 |     0.94 |   0.96
0402 -     32.68 |   99.86 |     0.96 |   0.98
0403 -     26.67 |  100.00 |     0.97 |   1.00
0404 -     44.78 |  100.00 |     0.99 |   1.00
0405 -     67.03 |  100.00 |     0.97 |   1.00
0406 -     22.53 |   96.92 |     0.93 |   0.96
0407 -     47.00 |   44.60 |     0.93 |   0.97
0408 -     96.23 |  100.00 |     0.99 |   1.00
0409 -      0.00 |    0.00 |     0.95 |   0.96
0410 -     92.57 |  100.00 |     0.97 |   1.00
0411 -      0.00 |    0.00 |     0.97 |   1.00
0412 -      8.95 |    9.75 |     0.93 |   0.96
0413 -     27.57 |   27.44 |     0.98 |   1.00
0414 -     42.06 |   99.39 |     0.97 |   1.00
0415 -     25.78 |  100.00 |     0.97 |   1.00
0416 -     83.06 |  100.00 |     0.97 |   1.00
0417 -     93.30 |  100.00 |     0.96 |   1.00
0418 -     92.06 |  100.00 |     0.98 |   1.00
0419 -     53.79 |   97.06 |     0.96 |   0.97
0420 -     21.47 |   95.63 |     0.92 |   0.99
0421 -     29.79 |   62.48 |     0.91 |   0.95
0422 -     24.36 |  100.00 |     0.99 |   1.00
0423 -      0.00 |   27.62 |     0.92 |   0.96
0424 -     76.98 |  100.00 |     0.97 |   1.00
0425 -      0.00 |    0.00 |     0.98 |   0.98
0426 -     16.50 |   18.13 |     0.90 |   0.96
0427 -      5.11 |  100.00 |     0.98 |   1.00
0428 -     61.82 |   61.97 |     0.97 |   0.98
0429 -     80.22 |   56.71 |     0.95 |   0.99
0430 -     88.01 |  100.00 |     0.94 |   1.00
0431 -      7.14 |    7.15 |     0.97 |   1.00
0432 -     70.35 |   70.50 |     0.99 |   1.00
0433 -      0.00 |    0.00 |     0.90 |   0.91
0434 -     68.97 |  100.00 |     0.95 |   1.00
0435 -     34.42 |   99.80 |     0.96 |   0.98
0436 -      8.83 |  100.00 |     0.98 |   1.00
0437 -      4.95 |  100.00 |     0.98 |   1.00
0438 -     49.70 |  100.00 |     0.97 |   1.00
0439 -      0.00 |    0.00 |     0.88 |   0.89
0440 -     61.76 |    4.22 |     0.99 |   0.99
0441 -     92.57 |  100.00 |     1.00 |   1.00
0442 -     62.95 |    8.99 |     0.98 |   1.00
0443 -     47.40 |  100.00 |     0.92 |   1.00
0444 -     14.08 |  100.00 |     0.99 |   1.00
0445 -     61.28 |  100.00 |     0.91 |   1.00
0446 -     19.18 |   99.41 |     0.96 |   0.97
0447 -     44.39 |  100.00 |     0.90 |   1.00
0448 -     49.57 |   52.97 |     0.98 |   0.99
0449 -     64.63 |  100.00 |     0.96 |   1.00
0450 -     58.74 |   65.63 |     1.00 |   1.00
0451 -      8.97 |   16.37 |     0.95 |   0.96
0452 -     94.94 |   84.87 |     0.98 |   0.99
0453 -      0.00 |    0.00 |     0.79 |   0.81
0454 -     51.51 |   50.96 |     0.97 |   0.99
0455 -     93.54 |  100.00 |     0.99 |   1.00
0456 -      7.68 |  100.00 |     0.99 |   1.00
0457 -     88.27 |  100.00 |     0.94 |   1.00
0458 -      0.00 |  100.00 |     1.00 |   1.00
0459 -     31.97 |   94.00 |     0.90 |   0.98
0460 -      0.00 |   16.22 |     0.97 |   0.98
0461 -      0.00 |    0.00 |     0.89 |   0.93
0462 -     68.83 |  100.00 |     0.97 |   1.00
0463 -     19.41 |  100.00 |     0.95 |   1.00
0464 -      0.00 |  100.00 |     0.96 |   1.00
0465 -     88.79 |  100.00 |     0.97 |   1.00
0466 -     87.31 |  100.00 |     0.91 |   1.00
0467 -     90.47 |  100.00 |     0.99 |   1.00
0468 -      0.00 |    0.00 |     0.80 |   0.93
0469 -     82.27 |  100.00 |     0.89 |   1.00
0470 -      0.00 |    0.00 |     0.82 |   0.79
0471 -     18.99 |  100.00 |     0.98 |   1.00
0472 -     47.58 |   59.38 |     0.93 |   0.95
0473 -     16.25 |  100.00 |     0.94 |   1.00
0474 -     37.58 |  100.00 |     0.94 |   1.00
0475 -     37.36 |   54.74 |     0.98 |   1.00
0476 -     27.45 |   80.92 |     0.92 |   0.97
0477 -      0.00 |    0.00 |     0.99 |   1.00
0478 -      0.00 |    0.00 |     0.94 |   0.94
0479 -      0.00 |    0.00 |     0.89 |   0.92
0480 -     31.48 |   32.76 |     0.83 |   0.95
0481 -     33.65 |  100.00 |     0.98 |   1.00
0482 -      0.00 |    0.00 |     0.91 |   0.99
0483 -     10.23 |  100.00 |     0.99 |   1.00
0484 -      0.00 |    0.00 |     0.80 |   0.82
0485 -     81.80 |   86.54 |     0.87 |   0.97
0486 -      0.00 |    0.00 |     0.96 |   0.97
0487 -     25.00 |   97.34 |     0.98 |   1.00
0488 -      0.00 |  100.00 |     0.97 |   1.00
0489 -     22.12 |   22.12 |     0.87 |   0.91
0490 -      0.00 |    0.00 |     0.91 |   0.94
0491 -     37.64 |   65.82 |     0.98 |   1.00
0492 -      0.00 |  100.00 |     0.99 |   1.00
0493 -      0.00 |    0.00 |     0.93 |   0.94
0494 -     51.73 |  100.00 |     0.97 |   1.00
0495 -     89.16 |  100.00 |     0.99 |   1.00
0496 -     37.30 |  100.00 |     0.93 |   1.00
0497 -     91.84 |   94.44 |     0.97 |   0.99
0498 -      0.00 |    0.00 |     0.91 |   0.99
0499 -     25.31 |   24.63 |     0.97 |   1.00
0500 -     84.63 |  100.00 |     0.99 |   1.00
0501 -      0.00 |  100.00 |     0.99 |   1.00
0502 -     19.82 |   20.10 |     0.92 |   0.96
0503 -      0.00 |   20.02 |     0.81 |   0.88
0504 -     90.34 |   66.75 |     0.96 |   0.90
0505 -     45.61 |   39.85 |     0.90 |   0.87
0506 -     86.37 |  100.00 |     0.98 |   1.00
0507 -     11.33 |  100.00 |     0.99 |   1.00
