==================
SIM GOLD:   0.9254
SIM IN:     0.9566
==================
       GOLD |  IN
0596 - 0.92 | 0.96
0597 - 0.81 | 0.88
0598 - 0.81 | 0.80
0599 - 0.86 | 0.87
0600 - 0.96 | 0.90
0601 - 0.94 | 0.93
0602 - 0.90 | 0.87
0603 - 0.98 | 1.00
0604 - 0.99 | 1.00
0605 - 0.87 | 0.87
0606 - 0.82 | 0.88
0607 - 0.91 | 0.90
0608 - 0.81 | 0.81
0609 - 0.98 | 1.00
0610 - 0.95 | 0.98
0611 - 0.95 | 1.00
0612 - 0.88 | 1.00
0613 - 0.68 | 0.94
0614 - 0.99 | 1.00
0615 - 0.89 | 0.88
0616 - 0.84 | 0.84
0617 - 0.99 | 1.00
0618 - 0.94 | 0.94
0619 - 0.98 | 1.00
0620 - 0.74 | 0.75
0621 - 0.95 | 0.96
0622 - 0.97 | 1.00
0623 - 0.92 | 1.00
0624 - 0.97 | 0.98
0625 - 0.96 | 1.00
0626 - 0.99 | 0.99
0627 - 0.94 | 1.00
0628 - 0.81 | 0.82
0629 - 0.75 | 0.74
0630 - 0.70 | 0.73
0631 - 0.98 | 1.00
0632 - 0.95 | 1.00
0633 - 0.85 | 0.88
0634 - 0.94 | 0.97
0635 - 0.84 | 0.86
0636 - 0.96 | 0.99
0637 - 0.73 | 0.74
0638 - 0.81 | 0.88
0639 - 0.97 | 1.00
0640 - 0.94 | 1.00
0641 - 0.98 | 0.97
0642 - 0.99 | 1.00
0643 - 0.95 | 0.94
0644 - 0.79 | 1.00
0645 - 0.98 | 1.00
0646 - 0.83 | 0.85
0647 - 0.82 | 0.81
0648 - 0.93 | 0.88
0649 - 0.99 | 1.00
0650 - 0.95 | 1.00
0651 - 0.74 | 0.79
0652 - 0.97 | 1.00
0653 - 0.97 | 1.00
0654 - 0.94 | 1.00
0655 - 1.00 | 0.97
0656 - 0.96 | 1.00
0657 - 0.88 | 0.90
0658 - 0.90 | 1.00
0659 - 0.93 | 0.95
0660 - 0.98 | 1.00
0661 - 0.95 | 1.00
0662 - 0.99 | 1.00
0663 - 0.94 | 0.97
0664 - 1.00 | 0.96
0665 - 0.93 | 0.99
0666 - 0.85 | 0.86
0667 - 0.99 | 1.00
0668 - 0.98 | 1.00
0669 - 0.77 | 0.78
0670 - 0.98 | 1.00
0671 - 0.82 | 0.90
0672 - 0.96 | 1.00
0673 - 0.95 | 0.98
0674 - 0.99 | 1.00
0675 - 0.98 | 0.99
0676 - 0.95 | 1.00
0677 - 0.99 | 1.00
0678 - 0.98 | 0.99
0679 - 0.67 | 0.70
0680 - 0.98 | 1.00
0681 - 0.99 | 1.00
0682 - 0.97 | 1.00
0683 - 0.99 | 1.00
0684 - 0.72 | 0.78
0685 - 0.88 | 0.86
0686 - 0.95 | 0.96
0687 - 0.81 | 0.82
0688 - 0.97 | 1.00
0689 - 0.93 | 0.96
0690 - 0.99 | 1.00
0691 - 0.97 | 0.99
0692 - 0.88 | 0.95
0693 - 0.98 | 0.99
0694 - 0.98 | 1.00
0695 - 0.96 | 1.00
0696 - 0.94 | 0.95
0697 - 0.98 | 1.00
0698 - 0.97 | 1.00
0699 - 0.90 | 0.90
0700 - 0.94 | 0.97
0701 - 0.83 | 0.84
0702 - 0.97 | 1.00
0703 - 0.98 | 1.00
0704 - 0.85 | 0.97
0705 - 0.92 | 0.94
0706 - 0.82 | 0.83
0707 - 0.99 | 1.00
0708 - 0.98 | 0.99
0709 - 0.98 | 0.99
0710 - 0.94 | 1.00
0711 - 0.97 | 0.98
0712 - 0.98 | 0.99
0713 - 0.90 | 0.95
0714 - 0.83 | 0.84
0715 - 0.92 | 0.98
0716 - 0.93 | 0.95
0717 - 0.97 | 0.99
0718 - 0.98 | 1.00
0719 - 0.96 | 0.98
0720 - 0.93 | 0.99
0721 - 0.99 | 1.00
0722 - 0.95 | 1.00
0723 - 0.98 | 1.00
0724 - 0.96 | 1.00
0725 - 0.88 | 0.87
0726 - 0.98 | 1.00
0727 - 0.90 | 0.96
0728 - 0.93 | 0.97
0729 - 0.86 | 0.89
0730 - 0.95 | 0.93
0731 - 0.92 | 0.97
0732 - 0.92 | 0.94
0733 - 0.97 | 0.98
0734 - 0.99 | 1.00
0735 - 0.97 | 1.00
0736 - 0.96 | 0.95
0737 - 0.94 | 0.98
0738 - 0.96 | 0.97
0739 - 0.85 | 0.99
0740 - 0.97 | 0.98
0741 - 0.95 | 0.97
0742 - 0.94 | 1.00
0743 - 0.94 | 0.97
0744 - 0.97 | 1.00
0745 - 0.96 | 0.98
0746 - 0.98 | 1.00
