==================
SIM GOLD:   0.9156
SIM IN:     0.9478
==================
       GOLD |  IN
0596 - 0.89 | 0.92
0597 - 0.86 | 0.94
0598 - 0.81 | 0.89
0599 - 0.80 | 0.81
0600 - 0.96 | 1.00
0601 - 0.93 | 0.97
0602 - 0.85 | 0.90
0603 - 0.98 | 1.00
0604 - 0.99 | 1.00
0605 - 0.95 | 0.96
0606 - 0.95 | 0.98
0607 - 0.90 | 0.92
0608 - 0.79 | 0.79
0609 - 0.96 | 0.98
0610 - 0.89 | 0.92
0611 - 0.92 | 0.96
0612 - 0.88 | 1.00
0613 - 0.70 | 1.00
0614 - 0.92 | 0.92
0615 - 0.89 | 0.88
0616 - 0.43 | 0.42
0617 - 0.99 | 1.00
0618 - 0.90 | 0.91
0619 - 0.94 | 0.96
0620 - 0.77 | 0.78
0621 - 0.86 | 0.87
0622 - 0.98 | 1.00
0623 - 0.92 | 1.00
0624 - 0.96 | 0.97
0625 - 0.96 | 1.00
0626 - 0.98 | 0.99
0627 - 0.77 | 0.91
0628 - 0.72 | 0.73
0629 - 0.77 | 0.76
0630 - 0.95 | 0.96
0631 - 0.95 | 0.95
0632 - 0.88 | 0.93
0633 - 0.87 | 0.91
0634 - 0.93 | 0.95
0635 - 0.87 | 0.88
0636 - 0.97 | 1.00
0637 - 0.73 | 0.73
0638 - 0.93 | 1.00
0639 - 0.97 | 1.00
0640 - 0.93 | 0.99
0641 - 0.98 | 0.99
0642 - 0.91 | 0.92
0643 - 0.92 | 0.98
0644 - 0.74 | 0.94
0645 - 0.97 | 0.99
0646 - 0.96 | 0.99
0647 - 0.78 | 0.78
0648 - 0.92 | 0.96
0649 - 0.99 | 1.00
0650 - 0.95 | 1.00
0651 - 0.46 | 0.45
0652 - 0.97 | 1.00
0653 - 0.97 | 1.00
0654 - 0.93 | 0.99
0655 - 0.97 | 1.00
0656 - 0.90 | 0.93
0657 - 0.88 | 0.90
0658 - 0.90 | 1.00
0659 - 0.93 | 0.95
0660 - 0.98 | 1.00
0661 - 0.95 | 1.00
0662 - 0.99 | 1.00
0663 - 0.92 | 0.95
0664 - 0.96 | 1.00
0665 - 0.93 | 0.99
0666 - 0.82 | 0.82
0667 - 0.99 | 1.00
0668 - 0.98 | 1.00
0669 - 0.94 | 0.98
0670 - 0.98 | 1.00
0671 - 0.93 | 1.00
0672 - 0.90 | 0.95
0673 - 0.97 | 1.00
0674 - 0.96 | 0.98
0675 - 0.99 | 0.99
0676 - 0.95 | 1.00
0677 - 0.98 | 0.99
0678 - 0.97 | 0.99
0679 - 0.86 | 0.86
0680 - 0.98 | 1.00
0681 - 0.99 | 1.00
0682 - 0.88 | 0.91
0683 - 0.98 | 0.99
0684 - 0.94 | 0.99
0685 - 0.86 | 0.88
0686 - 0.92 | 0.93
0687 - 0.73 | 0.74
0688 - 0.97 | 1.00
0689 - 0.95 | 0.99
0690 - 0.94 | 0.95
0691 - 0.95 | 0.97
0692 - 0.88 | 0.95
0693 - 0.98 | 0.99
0694 - 0.98 | 1.00
0695 - 0.92 | 0.93
0696 - 0.93 | 0.94
0697 - 0.95 | 0.97
0698 - 0.97 | 1.00
0699 - 0.87 | 0.87
0700 - 0.98 | 1.00
0701 - 0.76 | 0.77
0702 - 0.94 | 0.96
0703 - 0.93 | 0.95
0704 - 0.79 | 0.91
0705 - 0.97 | 1.00
0706 - 0.77 | 0.78
0707 - 0.98 | 0.99
0708 - 0.99 | 1.00
0709 - 0.98 | 0.99
0710 - 0.94 | 0.96
0711 - 0.97 | 0.99
0712 - 0.96 | 0.98
0713 - 0.91 | 0.96
0714 - 0.92 | 0.93
0715 - 0.89 | 0.95
0716 - 0.90 | 0.89
0717 - 0.90 | 0.94
0718 - 0.98 | 1.00
0719 - 0.91 | 0.94
0720 - 0.93 | 0.99
0721 - 0.99 | 1.00
0722 - 0.94 | 0.98
0723 - 0.96 | 0.98
0724 - 0.96 | 1.00
0725 - 0.68 | 0.68
0726 - 0.98 | 1.00
0727 - 0.95 | 1.00
0728 - 0.93 | 0.97
0729 - 0.82 | 0.85
0730 - 0.98 | 1.00
0731 - 0.73 | 0.79
0732 - 0.97 | 1.00
0733 - 0.96 | 0.98
0734 - 0.83 | 0.82
0735 - 0.96 | 1.00
0736 - 0.92 | 0.90
0737 - 0.93 | 0.98
0738 - 0.93 | 0.93
0739 - 0.81 | 0.95
0740 - 0.87 | 0.88
0741 - 0.95 | 0.98
0742 - 0.94 | 1.00
0743 - 0.88 | 0.92
0744 - 0.97 | 1.00
0745 - 0.97 | 0.99
0746 - 0.98 | 1.00
0747 - 0.99 | 1.00
0748 - 0.91 | 0.93
0749 - 0.95 | 1.00
0750 - 0.88 | 0.94
0751 - 0.96 | 1.00
0752 - 0.98 | 0.98
0753 - 0.91 | 0.96
0754 - 0.99 | 1.00
0755 - 0.83 | 0.87
0756 - 0.99 | 1.00
0757 - 0.89 | 0.93
0758 - 0.65 | 0.67
0759 - 0.99 | 1.00
0760 - 0.95 | 0.99
0761 - 0.99 | 1.00
0762 - 0.97 | 0.98
0763 - 0.96 | 0.98
0764 - 0.98 | 1.00
0765 - 0.91 | 1.00
0766 - 0.98 | 1.00
0767 - 0.97 | 1.00
0768 - 0.87 | 0.91
0769 - 0.97 | 1.00
0770 - 0.84 | 0.84
0771 - 0.97 | 1.00
0772 - 0.95 | 0.96
0773 - 0.98 | 1.00
0774 - 0.94 | 0.96
0775 - 0.98 | 1.00
0776 - 0.95 | 1.00
0777 - 0.94 | 0.96
0778 - 0.97 | 1.00
0779 - 0.94 | 1.00
0780 - 0.93 | 0.94
0781 - 0.97 | 1.00
0782 - 0.94 | 0.97
0783 - 0.85 | 0.86
0784 - 0.39 | 0.39
0785 - 0.93 | 1.00
0786 - 0.91 | 0.99
0787 - 0.79 | 0.87
0788 - 0.90 | 1.00
0789 - 0.97 | 1.00
0790 - 0.97 | 1.00
0791 - 0.94 | 0.96
0792 - 0.94 | 0.95
0793 - 0.72 | 0.97
0794 - 0.92 | 0.95
0795 - 0.95 | 0.96
0796 - 0.75 | 0.77
0797 - 0.93 | 0.96
0798 - 0.85 | 0.86
0799 - 0.89 | 0.94
0800 - 0.90 | 1.00
0801 - 0.90 | 0.94
0802 - 0.82 | 0.95
0803 - 0.93 | 0.99
0804 - 0.98 | 1.00
0805 - 0.77 | 0.77
0806 - 0.97 | 0.97
0807 - 0.96 | 0.98
0808 - 0.92 | 0.98
0809 - 0.79 | 0.78
0810 - 0.97 | 0.99
0811 - 0.88 | 0.88
0812 - 0.96 | 1.00
0813 - 0.99 | 1.00
0814 - 0.99 | 1.00
0815 - 0.98 | 1.00
0816 - 0.93 | 1.00
0817 - 0.76 | 0.95
0818 - 0.85 | 0.85
0819 - 0.72 | 0.78
0820 - 0.96 | 1.00
0821 - 0.73 | 0.78
0822 - 0.94 | 0.99
0823 - 0.92 | 0.94
0824 - 0.94 | 0.99
0825 - 0.98 | 0.99
0826 - 0.99 | 1.00
0827 - 0.98 | 1.00
0828 - 0.92 | 0.93
0829 - 0.98 | 0.98
0830 - 0.98 | 1.00
0831 - 0.95 | 0.97
