==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 46.70
SIM GOLD:                               0.8591
SIM IN:                                 0.9411
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0221 -     50.03 |   58.42 |     0.97 |   0.98
0222 -      0.00 |   77.41 |     0.88 |   0.99
0223 -     79.78 |  100.00 |     0.96 |   1.00
0224 -      0.00 |    0.00 |     0.86 |   0.91
0225 -     35.38 |   12.54 |     0.85 |   0.99
0226 -     68.61 |   86.59 |     0.83 |   0.88
0227 -      0.00 |    0.00 |     0.96 |   1.00
0228 -     11.06 |   10.78 |     0.84 |   0.92
0229 -     49.52 |   94.09 |     0.50 |   0.99
0230 -     16.45 |  100.00 |     0.92 |   1.00
0231 -     55.75 |   73.57 |     0.91 |   1.00
0232 -      5.64 |   33.34 |     0.71 |   0.74
0233 -     17.98 |   96.79 |     0.91 |   0.98
0234 -     73.37 |   83.23 |     0.91 |   0.93
0235 -      0.00 |    0.00 |     0.88 |   0.94
0236 -     28.75 |   77.07 |     0.96 |   0.99
0237 -      0.00 |    0.00 |     0.67 |   0.74
0238 -      0.00 |    0.00 |     0.88 |   0.98
0239 -      0.00 |    0.00 |     0.80 |   0.88
0240 -     45.31 |   56.43 |     0.80 |   0.91
0241 -     17.82 |  100.00 |     0.98 |   1.00
0242 -      0.00 |    0.00 |     0.62 |   0.67
0243 -      0.00 |    0.00 |     0.95 |   0.98
0244 -      0.00 |    0.00 |     0.81 |   0.93
0245 -     57.50 |   96.74 |     0.83 |   1.00
0246 -      0.00 |   27.24 |     0.85 |   1.00
0247 -      0.00 |    0.00 |     0.89 |   0.94
0248 -     95.24 |  100.00 |     0.97 |   1.00
0249 -     36.22 |   16.58 |     0.98 |   1.00
0250 -      0.00 |   71.38 |     0.87 |   1.00
0251 -      0.00 |   99.10 |     0.96 |   0.99
0252 -     21.44 |   63.10 |     0.73 |   0.85
0253 -      0.00 |   22.64 |     0.81 |   0.98
0254 -      0.00 |    0.00 |     0.84 |   0.85
0255 -      0.00 |   21.68 |     0.85 |   0.97
0256 -     35.16 |    0.00 |     0.89 |   0.95
0257 -     22.25 |   79.67 |     0.85 |   0.98
0258 -     44.19 |   99.10 |     0.71 |   0.93
0259 -     65.91 |   97.07 |     0.88 |   0.99
0260 -     42.15 |   99.11 |     0.95 |   1.00
0261 -     29.17 |   12.03 |     0.96 |   0.98
0262 -      8.94 |   24.95 |     0.86 |   0.87
0263 -     19.55 |   16.93 |     0.84 |   0.95
0264 -     17.41 |   91.79 |     0.94 |   0.96
0265 -      0.00 |    0.00 |     0.63 |   0.87
0266 -     19.93 |   98.62 |     0.94 |   0.97
0267 -     88.51 |    0.00 |     0.82 |   0.96
0268 -     58.45 |   49.96 |     0.79 |   0.98
0269 -     48.19 |  100.00 |     0.92 |   1.00
0270 -     99.40 |   99.21 |     0.96 |   0.99
0271 -     20.22 |   23.66 |     0.96 |   1.00
0272 -     33.73 |  100.00 |     0.86 |   1.00
