==============================================
BLEU GOLD:                               41.66
BLEU IN:                                 59.73
SIM GOLD:                               0.9287
SIM IN:                                 0.9644
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0186 -      0.00 |    0.00 |     0.86 |   0.87
0187 -     53.66 |   40.00 |     0.93 |   0.99
0188 -     89.39 |  100.00 |     0.95 |   1.00
0189 -     36.47 |  100.00 |     0.84 |   1.00
0190 -      0.00 |    0.00 |     0.90 |   0.95
0191 -     32.18 |  100.00 |     0.94 |   1.00
0192 -      5.55 |    0.00 |     0.81 |   0.86
0193 -      0.00 |    0.00 |     0.93 |   0.98
0194 -     28.11 |   40.57 |     0.95 |   0.96
0195 -     70.45 |  100.00 |     0.99 |   1.00
0196 -      0.00 |    0.00 |     0.91 |   0.91
0197 -      0.00 |    0.00 |     0.88 |   0.94
0198 -     91.66 |   97.15 |     0.95 |   0.99
0199 -     92.39 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    0.00 |     0.76 |   0.79
0201 -     17.40 |   99.17 |     0.93 |   0.95
0202 -     60.44 |   97.49 |     0.96 |   1.00
0203 -     93.89 |  100.00 |     0.96 |   1.00
0204 -     30.19 |   21.05 |     0.97 |   0.97
0205 -      0.00 |    0.00 |     0.89 |   0.94
0206 -     94.90 |  100.00 |     0.99 |   1.00
0207 -     91.41 |  100.00 |     0.98 |   1.00
0208 -     67.51 |   67.14 |     0.96 |   0.95
0209 -     87.17 |   98.40 |     0.89 |   0.93
0210 -     61.64 |   22.42 |     0.96 |   0.98
0211 -     26.07 |  100.00 |     0.97 |   1.00
0212 -      0.00 |    0.00 |     0.97 |   0.99
0213 -      9.15 |    9.09 |     0.97 |   0.99
0214 -      8.12 |   98.38 |     0.96 |   1.00
0215 -     23.28 |    0.00 |     0.89 |   0.96
0216 -     74.94 |   80.02 |     0.98 |   1.00
0217 -      0.00 |    0.00 |     0.67 |   0.81
0218 -     86.47 |  100.00 |     0.98 |   1.00
0219 -     37.49 |   98.63 |     0.92 |   0.94
0220 -     50.67 |   53.60 |     0.90 |   0.99
0221 -     82.03 |  100.00 |     0.89 |   1.00
0222 -      0.00 |    0.00 |     0.97 |   0.98
0223 -      0.00 |    0.00 |     0.93 |   1.00
0224 -     91.61 |   96.08 |     0.99 |   1.00
0225 -     42.61 |  100.00 |     0.98 |   1.00
0226 -     91.53 |  100.00 |     0.96 |   1.00
0227 -      0.00 |    0.00 |     0.68 |   0.68
0228 -     77.31 |   77.48 |     0.97 |   1.00
0229 -     57.04 |    0.00 |     0.85 |   0.87
0230 -     72.22 |   64.77 |     0.89 |   0.92
0231 -     89.79 |  100.00 |     0.99 |   1.00
