==============================================
BLEU GOLD:                               20.78
BLEU IN:                                 31.26
SIM GOLD:                               0.7955
SIM IN:                                 0.8661
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0251 -      0.00 |   17.88 |     0.91 |   0.95
0252 -     21.44 |   63.10 |     0.73 |   0.85
0253 -      0.00 |    0.00 |     0.81 |   0.87
0254 -      6.43 |    0.00 |     0.94 |   0.97
0255 -      0.00 |    0.00 |     0.75 |   0.83
0256 -      0.00 |    0.00 |     0.64 |   0.62
0257 -      0.00 |   22.48 |     0.83 |   0.96
0258 -     41.21 |   90.13 |     0.82 |   0.98
0259 -     41.83 |   66.08 |     0.76 |   0.87
0260 -      0.00 |    0.00 |     0.85 |   0.89
0261 -      7.18 |    6.94 |     0.69 |   0.68
0262 -      0.00 |    0.00 |     0.56 |   0.53
0263 -     24.45 |   22.13 |     0.82 |   0.95
0264 -     18.93 |   17.55 |     0.96 |   0.97
0265 -     41.60 |   96.72 |     0.73 |   0.99
0266 -     20.27 |   93.03 |     0.98 |   0.98
0267 -      0.00 |    0.00 |     0.82 |   0.78
0268 -     45.48 |   50.75 |     0.77 |   0.96
0269 -     45.04 |   96.71 |     0.91 |   0.99
0270 -     63.23 |   56.07 |     0.92 |   0.91
0271 -     18.36 |   23.35 |     0.92 |   0.94
0272 -     33.73 |  100.00 |     0.86 |   1.00
0273 -     76.75 |   99.52 |     0.98 |   1.00
0274 -      7.16 |    7.77 |     0.91 |   0.93
0275 -     55.66 |   43.86 |     0.77 |   0.89
0276 -      0.00 |    0.00 |     0.84 |   0.89
0277 -     46.62 |  100.00 |     0.91 |   1.00
0278 -     69.02 |  100.00 |     0.86 |   1.00
0279 -      0.00 |    0.00 |     0.12 |   0.15
0280 -     88.44 |   74.06 |     0.87 |   0.98
0281 -      0.00 |    0.00 |     0.78 |   0.80
0282 -      0.00 |    0.00 |     0.75 |   0.76
0283 -     41.87 |  100.00 |     0.88 |   1.00
0284 -     22.84 |   70.88 |     0.88 |   0.99
0285 -     58.87 |   99.21 |     0.93 |   0.98
0286 -     55.29 |   86.72 |     0.82 |   0.91
0287 -      0.00 |    0.00 |     0.26 |   0.36
0288 -     11.49 |   11.20 |     0.90 |   0.95
0289 -     63.89 |   66.45 |     0.87 |   0.93
0290 -     14.34 |   12.07 |     0.93 |   1.00
0291 -      0.00 |    0.00 |     0.80 |   0.76
0292 -      0.00 |    0.00 |     0.46 |   0.53
0293 -     62.57 |   72.38 |     0.94 |   0.93
0294 -      0.00 |    0.00 |     0.54 |   0.66
0295 -      0.00 |    0.00 |     0.77 |   0.86
0296 -     92.27 |    0.00 |     0.93 |   0.92
0297 -      0.00 |    0.00 |     0.78 |   0.84
0298 -      8.65 |    8.86 |     0.78 |   0.86
0299 -      7.07 |    7.64 |     0.91 |   0.94
0300 -      0.00 |    0.00 |     0.55 |   0.66
0301 -     41.11 |   45.63 |     0.88 |   0.92
0302 -     66.78 |  100.00 |     0.95 |   1.00
0303 -      0.00 |    0.00 |     0.84 |   0.90
0304 -      0.00 |    0.00 |     0.52 |   0.67
0305 -     36.18 |   29.44 |     0.93 |   0.99
0306 -      0.00 |    0.00 |     0.80 |   0.79
0307 -     27.10 |   81.51 |     0.84 |   0.95
0308 -      0.00 |    0.00 |     0.75 |   0.79
0309 -     12.64 |   65.45 |     0.84 |   0.92
0310 -     28.17 |   27.79 |     0.85 |   0.90
0311 -      9.01 |    9.34 |     0.69 |   0.87
0312 -     36.23 |   43.90 |     0.81 |   0.86
0313 -      0.00 |    0.00 |     0.87 |   0.95
0314 -      0.00 |    0.00 |     0.16 |   0.22
0315 -      0.00 |    0.00 |     0.81 |   0.87
0316 -      0.00 |    0.00 |     0.84 |   0.86
0317 -      0.00 |    0.00 |     0.88 |   0.90
0318 -     45.76 |   56.83 |     0.78 |   0.83
0319 -      8.76 |   21.78 |     0.91 |   0.92
0320 -     78.79 |   89.06 |     0.94 |   0.96
0321 -      0.00 |    0.00 |     0.75 |   0.82
0322 -     20.32 |   15.25 |     0.71 |   0.80
0323 -     22.26 |   41.94 |     0.82 |   0.84
0324 -      0.00 |    0.00 |     0.93 |   0.94
0325 -      0.00 |    0.00 |     0.54 |   0.52
0326 -      0.00 |   82.87 |     0.93 |   0.95
0327 -     11.76 |   10.83 |     0.67 |   0.87
0328 -      0.00 |    0.00 |     0.90 |   0.92
0329 -      0.00 |    0.00 |     0.68 |   0.68
0330 -     85.91 |  100.00 |     0.92 |   1.00
0331 -     33.37 |   64.09 |     0.85 |   1.00
0332 -      0.00 |    0.00 |     0.46 |   0.47
0333 -      0.00 |    0.00 |     0.93 |   0.92
0334 -     11.15 |    0.00 |     0.85 |   0.88
0335 -      0.00 |   37.51 |     0.90 |   0.94
0336 -      7.25 |   40.62 |     0.80 |   0.88
0337 -     20.47 |   20.47 |     0.97 |   0.95
0338 -      0.00 |    9.05 |     0.91 |   0.95
0339 -      0.00 |    0.00 |     0.63 |   0.66
0340 -      0.00 |    0.00 |     0.90 |   0.99
0341 -     63.11 |   73.20 |     0.79 |   0.91
0342 -     47.32 |   99.50 |     0.95 |   1.00
0343 -     23.33 |   86.96 |     0.92 |   1.00
0344 -     53.47 |    6.67 |     0.93 |   0.97
0345 -     11.85 |    4.43 |     0.78 |   0.81
0346 -     15.74 |   16.26 |     0.84 |   0.91
0347 -     13.44 |   15.54 |     0.78 |   0.79
0348 -     62.62 |   66.47 |     0.92 |   0.96
0349 -     35.24 |   43.73 |     0.69 |   0.79
0350 -      0.00 |    0.00 |     0.20 |   0.50
0351 -      0.00 |    0.00 |     0.54 |   0.60
0352 -      0.00 |    0.00 |     0.71 |   0.80
0353 -     40.75 |   33.41 |     0.92 |   0.95
0354 -     12.03 |   47.13 |     0.92 |   0.96
0355 -      0.00 |    0.00 |     0.69 |   0.72
0356 -     43.71 |   33.03 |     0.90 |   0.96
0357 -      0.00 |    0.00 |     0.82 |   0.83
0358 -      0.00 |    0.00 |     0.82 |   0.90
0359 -      0.00 |    0.00 |     0.66 |   0.74
0360 -     11.44 |   10.52 |     0.89 |   0.90
0361 -     47.29 |   43.40 |     0.87 |   0.89
0362 -      0.00 |    0.00 |     0.76 |   0.78
0363 -     51.31 |   51.20 |     0.67 |   0.71
0364 -     54.12 |   96.76 |     0.94 |   0.98
0365 -     43.85 |    0.00 |     0.85 |   0.89
0366 -     73.26 |   99.21 |     0.95 |   0.98
0367 -      0.00 |   17.01 |     0.74 |   0.76
0368 -      0.00 |    0.00 |     0.62 |   0.30
0369 -     23.50 |   20.70 |     0.83 |   0.91
0370 -      0.00 |    0.00 |     0.78 |   0.83
0371 -      0.00 |   12.81 |     0.77 |   0.81
0372 -      0.00 |    0.00 |     0.87 |   0.92
0373 -     23.65 |    0.00 |     0.82 |   0.95
0374 -     30.61 |   67.43 |     0.94 |   0.96
0375 -     29.09 |    0.00 |     0.89 |   0.93
0376 -      0.00 |    0.00 |     0.81 |   0.86
0377 -      0.00 |    0.00 |     0.75 |   0.93
0378 -     19.67 |   21.91 |     0.82 |   0.89
0379 -     31.55 |   93.28 |     0.92 |   0.99
0380 -      0.00 |    6.02 |     0.96 |   0.98
0381 -      0.00 |    0.00 |     0.71 |   0.76
0382 -      0.00 |    0.00 |     0.84 |   0.95
0383 -      0.00 |    0.00 |     0.75 |   0.89
0384 -      0.00 |    0.00 |     0.89 |   0.90
0385 -      0.00 |    0.00 |     0.64 |   0.70
0386 -      0.00 |   99.10 |     0.94 |   1.00
0387 -     30.24 |   34.18 |     0.86 |   0.86
0388 -      0.00 |    0.00 |     0.93 |   0.99
0389 -     86.04 |   98.64 |     0.82 |   0.85
0390 -     43.95 |    0.00 |     0.80 |   0.89
0391 -     20.83 |   27.79 |     0.65 |   0.81
0392 -     45.42 |   32.52 |     0.53 |   0.54
0393 -      0.00 |   40.89 |     0.43 |   0.61
0394 -      0.00 |    0.00 |     0.85 |   0.96
0395 -     58.20 |   56.99 |     0.95 |   0.94
0396 -     51.29 |   36.90 |     0.91 |   0.90
0397 -     70.24 |   67.56 |     0.89 |   0.91
0398 -      0.00 |    0.00 |     0.89 |   0.98
0399 -      0.00 |    0.00 |     0.62 |   0.72
0400 -      0.00 |    0.00 |     0.79 |   0.91
0401 -      0.00 |    0.00 |     0.74 |   0.75
0402 -      0.00 |   11.84 |     0.61 |   0.63
0403 -      0.00 |    0.00 |     0.86 |   0.95
0404 -      3.94 |    0.00 |     0.95 |   0.99
0405 -      0.00 |   30.81 |     0.80 |   0.88
0406 -      0.00 |    0.00 |     0.76 |   0.76
0407 -     45.02 |   63.18 |     0.66 |   0.77
0408 -      7.98 |   37.50 |     0.87 |   0.88
0409 -      6.82 |   40.14 |     0.75 |   0.86
0410 -      0.00 |    0.00 |     0.70 |   0.76
0411 -      0.00 |   14.47 |     0.86 |   0.92
0412 -     57.40 |  100.00 |     0.94 |   0.96
0413 -     23.65 |   34.09 |     0.58 |   0.75
0414 -     15.01 |   31.47 |     0.70 |   0.82
0415 -      0.00 |    0.00 |     0.74 |   0.87
0416 -      9.94 |   80.52 |     0.90 |   0.95
0417 -      0.00 |   40.51 |     0.67 |   0.84
0418 -     76.27 |   66.17 |     0.86 |   0.86
0419 -     16.92 |   10.94 |     0.55 |   0.83
0420 -     63.22 |    0.00 |     0.81 |   0.85
0421 -      0.00 |    0.00 |     0.68 |   0.59
0422 -     50.82 |   57.87 |     0.74 |   0.97
0423 -     37.81 |   75.76 |     0.84 |   0.85
0424 -     25.74 |   95.09 |     0.91 |   0.96
0425 -     37.02 |   65.90 |     0.85 |   0.99
0426 -      0.00 |    0.00 |     0.48 |   0.50
0427 -     36.09 |   53.34 |     0.92 |   0.94
0428 -      6.77 |   99.26 |     0.92 |   0.98
0429 -      0.00 |    0.00 |     0.65 |   0.78
0430 -     44.00 |   34.35 |     0.88 |   0.95
0431 -      0.00 |    0.00 |     0.59 |   0.59
0432 -     86.91 |   61.61 |     0.94 |   0.94
0433 -      0.00 |    8.40 |     0.68 |   0.68
0434 -      8.69 |    7.96 |     0.87 |   0.93
0435 -     59.88 |   44.63 |     0.84 |   0.96
0436 -     78.06 |   85.53 |     0.92 |   0.94
0437 -      0.00 |    0.00 |     0.87 |   0.98
0438 -     70.01 |   62.09 |     0.65 |   0.65
0439 -      8.01 |  100.00 |     0.77 |   0.93
0440 -      7.19 |   11.64 |     0.91 |   0.92
0441 -     23.86 |   22.09 |     0.64 |   0.90
0442 -      0.00 |    0.00 |     0.62 |   0.62
0443 -     36.48 |    7.73 |     0.87 |   0.91
0444 -      0.00 |    0.00 |     0.85 |   0.86
0445 -     12.89 |    9.25 |     0.98 |   0.99
0446 -      0.00 |    0.00 |     0.89 |   0.92
0447 -      0.00 |    0.00 |     0.45 |   0.66
0448 -      7.63 |    0.00 |     0.56 |   0.59
0449 -      0.00 |    0.00 |     0.75 |   0.83
0450 -      0.00 |    0.00 |     0.84 |   0.83
